Player Name,Passes Completed,Passes Attempted,Key Passes,Completed Passes into PA
Leon Balogun,174.0,218.0,0.0,0.0
Mario Balotelli,168.0,237.0,8.0,2.0
Mario Balotelli,158.0,230.0,6.0,1.0
Abdoulaye Bamba,976.0,1276.0,17.0,20.0
Jonathan Bamba,962.0,1224.0,43.0,37.0
Sol Bamba,397.0,580.0,4.0,3.0
Yacine Bammou,227.0,317.0,7.0,6.0
Éver Banega,1820.0,2208.0,52.0,40.0
Mattia Bani,1008.0,1261.0,3.0,4.0
Léo Baptistão,289.0,394.0,22.0,16.0
Antonín Barák,152.0,183.0,2.0,1.0
Federico Barba,1021.0,1309.0,12.0,18.0
Danilo Barbosa,581.0,671.0,14.0,5.0
Enis Bardhi,894.0,1211.0,27.0,34.0
Francesco Bardi,42.0,74.0,0.0,0.0
Phil Bardsley,523.0,770.0,6.0,20.0
Nicolò Barella,1532.0,1926.0,43.0,52.0
Philipp Bargfrede,476.0,580.0,5.0,9.0
Antonino Barillà,604.0,848.0,18.0,14.0
Ross Barkley,881.0,973.0,21.0,17.0
Aymen Barkok,181.0,233.0,4.0,8.0
Ashley Barnes,346.0,559.0,20.0,13.0
Harvey Barnes,257.0,344.0,16.0,13.0
Antonio Barragán,540.0,650.0,10.0,16.0
Antonio Barreca,1.0,3.0,0.0,0.0
Antonio Barreca,204.0,289.0,7.0,6.0
Leandro Barreiro Martins,22.0,34.0,1.0,0.0
Ander Barrenetxea,87.0,115.0,6.0,3.0
Édgar Barreto,396.0,515.0,10.0,13.0
Musa Barrow,192.0,248.0,14.0,7.0
Fin Bartels,3.0,5.0,0.0,0.0
Marc Bartra,1993.0,2254.0,4.0,4.0
Andrea Barzagli,183.0,205.0,0.0,0.0
Daniele Baselli,973.0,1245.0,44.0,26.0
Toma Bašić,480.0,620.0,23.0,7.0
Thomas Basila,22.0,26.0,0.0,0.0
Borja Bastón,208.0,321.0,9.0,4.0
Alessandro Bastoni,509.0,610.0,1.0,3.0
Bastos,469.0,550.0,2.0,0.0
Michy Batshuayi,111.0,162.0,1.0,2.0
Michy Batshuayi,106.0,140.0,8.0,4.0
Robert Bauer,594.0,827.0,11.0,8.0
Oliver Baumann,1015.0,1289.0,3.0,0.0
Timo Baumgartl,717.0,865.0,2.0,5.0
Julian Baumgartlinger,1249.0,1394.0,12.0,11.0
Christoph Baumgartner,23.0,36.0,0.0,0.0
Jon Bautista,83.0,136.0,3.0,2.0
Paul Baysse,25.0,34.0,0.0,0.0
Paul Baysse,662.0,813.0,3.0,1.0
