Player Name,Passes Completed,Passes Attempted,Key Passes,Completed Passes into PA
Aly Abeid,29.0,38.0,2.0,2.0
Aly Ndom,122.0,162.0,1.0,0.0
Amad Traoré,21.0,29.0,2.0,2.0
Amadou Diawara,2160.0,2382.0,28.0,16.0
Amadou Haidara,1019.0,1243.0,32.0,31.0
Amadou Traore,12.0,17.0,2.0,1.0
Amath,565.0,851.0,31.0,29.0
Amato Ciciretti,289.0,407.0,17.0,10.0
Ambroise Oyongo,1743.0,2412.0,43.0,56.0
Amer Gojak,123.0,169.0,6.0,0.0
Amin Younes,565.0,682.0,19.0,22.0
Amine Adli,21.0,27.0,2.0,1.0
Amine Gouiri,508.0,664.0,27.0,20.0
Amine Harit,1948.0,2409.0,119.0,110.0
Amir Abrashi,909.0,1083.0,10.0,10.0
Amir Rrahmani,1272.0,1570.0,13.0,5.0
Amos Pieper,632.0,756.0,2.0,8.0
Anaitz Arbilla,3567.0,4666.0,23.0,30.0
Anas Ouahim,7.0,8.0,0.0,0.0
Anastasios Donis,377.0,577.0,25.0,17.0
Ander Barrenetxea,388.0,537.0,22.0,16.0
Ander Capa,3505.0,4801.0,68.0,98.0
Ander Guevara,1105.0,1305.0,11.0,8.0
Ander Herrera,3217.0,3625.0,46.0,37.0
Ander Iturraspe,1097.0,1370.0,26.0,13.0
Anderson Lima,25.0,30.0,2.0,0.0
Anderson Lucoqui,303.0,435.0,2.0,0.0
Andi Zeqiri,5.0,11.0,0.0,1.0
Andoni Gorosabel,1150.0,1483.0,27.0,36.0
Andoni López,33.0,43.0,0.0,0.0
Andre Gray,487.0,713.0,35.0,14.0
Andre-Frank Zambo Anguissa,4470.0,5118.0,63.0,42.0
Andrea Adorante,0.0,0.0,0.0,0.0
Andrea Barberis,807.0,1130.0,30.0,12.0
Andrea Barzagli,1347.0,1469.0,4.0,4.0
Andrea Beghetto,696.0,1095.0,50.0,54.0
Andrea Belotti,1744.0,2554.0,117.0,81.0
Andrea Bertolacci,1515.0,1896.0,28.0,38.0
Andrea Carboni,264.0,330.0,1.0,2.0
Andrea Cistana,688.0,808.0,5.0,5.0
Andrea Consigli,2797.0,3812.0,5.0,1.0
Andrea Conti,1300.0,1550.0,21.0,21.0
Andrea Cossu,76.0,125.0,4.0,1.0
Andrea Costa,560.0,735.0,3.0,6.0
Andrea Danzi,199.0,230.0,2.0,0.0
Andrea Favilli,221.0,303.0,11.0,6.0
Andrea Ghion,48.0,49.0,3.0,0.0
Andrea La Mantia,80.0,111.0,4.0,0.0
Andrea Masiello,4160.0,4859.0,23.0,28.0
Andrea Nalini,348.0,550.0,21.0,22.0
Andrea Papetti,273.0,322.0,1.0,1.0
Andrea Petagna,1755.0,2344.0,109.0,81.0
Andrea Pinamonti,760.0,1059.0,33.0,18.0
Andrea Poli,2814.0,3182.0,47.0,50.0
Andrea Raggi,738.0,986.0,5.0,7.0
Andrea Ranocchia,825.0,917.0,1.0,1.0
Andrea Rispoli,937.0,1223.0,18.0,24.0
Andrea Seculin,11.0,20.0,0.0,0.0
Andrea Tabanelli,281.0,353.0,5.0,6.0
Andreas Beck,1435.0,2029.0,26.0,30.0
Andreas Christensen,3109.0,3356.0,9.0,3.0
Andreas Cornelius,836.0,1224.0,54.0,17.0
Andreas Luthe,1055.0,1534.0,0.0,0.0
Andreas Pereira,1228.0,1683.0,64.0,54.0
Andreas Skov Olsen,356.0,488.0,12.0,17.0
Andreas Voglsammer,8.0,16.0,0.0,1.0
Andrei Girotto,2871.0,3518.0,24.0,21.0
Andrej Kramarić,2329.0,3057.0,138.0,130.0
Andreu Fontàs,618.0,701.0,2.0,1.0
Andrew Gravillon,385.0,518.0,1.0,3.0
Andrew Hjulsager,98.0,142.0,5.0,7.0
Andrew Robertson,7312.0,8991.0,171.0,204.0
Andrew Surman,1796.0,2135.0,29.0,39.0
Andrey Galabinov,281.0,422.0,12.0,7.0
Andri Fannar Baldursson,77.0,102.0,2.0,2.0
Andrija Balić,468.0,580.0,17.0,8.0
Andriy Lunin,84.0,122.0,0.0,0.0
Andriy Yarmolenko,931.0,1208.0,57.0,43.0
Andros Townsend,2393.0,3399.0,158.0,142.0
André Ayew,464.0,604.0,14.0,11.0
André Carrillo,556.0,758.0,18.0,21.0
André Gomes,2338.0,2782.0,28.0,38.0
André Hahn,717.0,1290.0,45.0,47.0
André Hoffmann,1651.0,1836.0,4.0,5.0
André Ramalho,11.0,14.0,0.0,0.0
André Schürrle,821.0,1120.0,39.0,50.0
André Silva,1243.0,1710.0,88.0,47.0
Andrés Fernández,550.0,784.0,2.0,0.0
Andrés Guardado,3791.0,4487.0,104.0,81.0
Andrés Iniesta,1325.0,1534.0,17.0,62.0
Andrés Prieto,34.0,79.0,0.0,0.0
Andrés Solano,22.0,27.0,0.0,0.0
Andrés Tello,56.0,75.0,0.0,1.0
Andy Carroll,430.0,692.0,21.0,19.0
Andy Delort,1941.0,3281.0,168.0,133.0
Andy King,453.0,575.0,5.0,8.0
Andy Pelmard,1256.0,1392.0,2.0,1.0
