Player Name,League,Position,Age,Matches Played,Starts,90s Played,Goals,Assists,Yellow Cards,Red Cards
Carlos Akapo,La Liga,DF,27.0,20,17,16.3,0,0,4,1
Carlos Bacca,La Liga,FW,34.0,98,51,51.7,23,7,14,0
Carlos Calderón,La Liga,FW,22.0,1,0,0.1,0,0,0,0
Carlos Clerc,La Liga,DF,28.0,40,36,36.6,0,4,7,0
Carlos Fernández,La Liga,FW,24.0,41,25,27.6,11,3,8,0
Carlos Gruezo,Bundesliga,MF,25.0,27,24,23.4,0,1,6,0
Carlos Isaac,La Liga,DF,20.0,2,2,1.7,0,0,1,0
Carlos Martínez,La Liga,DF,31.0,1,0,0.0,0,0,0,0
Carlos Neva,La Liga,DF,24.0,43,42,40.7,0,1,3,0
Carlos Salcedo,Bundesliga,DF,24.0,26,23,23.0,0,0,8,0
Carlos Soler,La Liga,MF,24.0,106,91,89.6,11,14,20,0
Carlos Sánchez,Premier League,"MF,DF",33.0,36,19,20.6,1,0,5,0
Carlos Vela,La Liga,"FW,MF",28.0,13,2,4.4,1,0,0,0
Carlos Vigaray,La Liga,DF,23.0,20,16,17.2,0,0,7,0
Carlos Vinícius,Premier League,"FW,MF",25.0,20,3,6.1,2,1,3,0
Casemiro,La Liga,MF,28.0,109,105,102.3,15,6,34,1
Casimir Ninga,Ligue 1,FW,27.0,79,47,49.6,10,4,12,1
Catena,La Liga,DF,23.0,2,2,2.0,0,0,1,0
Cauly Oliveira Souza,Bundesliga,"MF,FW",23.0,13,8,8.0,2,0,0,0
Cebio Soukou,Bundesliga,"FW,MF",28.0,10,5,4.4,1,0,1,0
Cedric Teuchert,Bundesliga,"MF,FW",24.0,22,5,7.0,3,1,0,0
Celso Borges,La Liga,MF,29.0,32,26,25.5,3,3,4,2
Cengiz Ünder,Premier League,"MF,FW",23.0,76,43,41.2,13,11,3,0
Cenk Tosun,Premier League,FW,29.0,54,26,28.5,10,3,4,0
Cesar Falletti,Serie A,"FW,MF",24.0,13,1,3.6,1,0,1,0
Cesc Fàbregas,Ligue 1,MF,33.0,79,55,54.3,4,9,11,3
Chadrac Akolo,Ligue 1,"FW,MF",24.0,53,23,24.0,7,2,3,0
Chancel Mbemba,Premier League,DF,22.0,9,7,7.5,0,0,0,0
Chaouki Ben Saada,Ligue 1,"FW,MF",33.0,16,2,3.8,0,0,3,0
Charalambos Lykogiannis,Serie A,DF,27.0,57,45,45.099999999999994,2,4,12,1
Charles,La Liga,FW,35.0,94,48,51.3,28,2,17,1
Charles Abi,Ligue 1,"FW,MF",20.0,26,9,10.600000000000001,1,0,2,0
Charles Aránguiz,Bundesliga,MF,31.0,84,77,74.6,4,13,11,0
Charles Traore,Ligue 1,DF,29.0,75,72,72.5,1,4,18,1
Charlie Adam,Premier League,MF,31.0,11,5,4.6,0,0,2,1
Charlie Austin,Premier League,FW,31.0,54,21,23.9,9,2,3,0
Charlie Daniels,Premier League,DF,32.0,58,53,52.4,2,3,4,0
Charlie Taylor,Premier League,DF,27.0,88,82,82.3,0,3,9,0
Charlison Benschop,Bundesliga,"MF,FW",27.0,7,2,2.0,1,0,0,0
Charly Charrier,Ligue 1,MF,31.0,3,1,1.2,0,0,0,0
Charly Musonda Jr.,Premier League,FW,20.0,3,0,0.4,0,0,0,0
Che Adams,Premier League,FW,24.0,47,29,28.0,8,6,1,0
Chechu,La Liga,DF,36.0,1,1,1.0,0,0,0,0
Cheick Diabaté,Serie A,"FW,MF",29.0,11,7,7.4,8,0,1,2
Cheick Doucouré,Ligue 1,MF,21.0,17,14,13.9,1,0,4,0
Cheick Doukouré,La Liga,MF,25.0,28,15,14.8,1,0,5,0
Cheick Keita,Serie A,DF,21.0,3,1,1.4,0,0,0,0
Cheick Timite,Ligue 1,"MF,FW",21.0,30,17,17.5,1,1,2,0
Cheick Traoré,Ligue 1,DF,23.0,20,16,16.8,0,0,3,0
Cheikh M'Bengue,Ligue 1,DF,29.0,7,6,5.4,0,1,2,0
Cheikh N'Doye,Ligue 1,MF,32.0,27,26,25.9,0,3,4,0
Cheikh Niasse,Ligue 1,MF,19.0,1,0,0.2,0,0,0,0
Cheikh Tidiane Sabaly,Ligue 1,MF,21.0,1,0,0.1,0,0,0,0
Cheikhou Kouyaté,Premier League,DF,31.0,117,100,98.00000000000001,4,6,12,0
Chema,La Liga,"DF,MF",28.0,52,43,42.8,3,0,21,2
Chidozie Awaziem,La Liga,DF,22.0,48,37,39.0,1,0,12,1
Chima Okoroji,Bundesliga,"DF,MF",21.0,2,1,1.2,0,0,0,0
Chory Castro,La Liga,"MF,FW",32.0,26,26,22.8,4,2,5,2
Chris Basham,Premier League,"DF,MF",32.0,57,57,53.2,0,1,5,0
Chris Brunt,Premier League,"MF,DF",32.0,26,22,21.3,0,7,5,0
Chris Führich,Bundesliga,"MF,FW",19.0,2,1,1.1,0,0,0,0
Chris Löwe,Premier League,"DF,MF",29.0,52,42,40.5,0,2,3,0
Chris Mepham,Premier League,DF,21.0,25,20,19.5,1,1,2,0
Chris Philipps,Ligue 1,"MF,DF",23.0,11,10,9.4,0,0,4,0
Chris Ramos,La Liga,FW,21.0,1,1,0.7,0,0,0,0
Chris Richards,Bundesliga,DF,20.0,4,1,1.1,0,1,0,0
Chris Smalling,Serie A,DF,31.0,93,89,88.8,8,3,11,0
Chris Wood,Premier League,FW,29.0,111,95,89.9,37,4,4,0
Chrislain Matsima,Ligue 1,DF,18.0,6,3,3.7,0,0,2,0
Christian Atsu,Premier League,"FW,MF",27.0,75,40,44.7,3,5,5,0
Christian Benteke,Premier League,FW,30.0,84,53,54.8,9,7,13,2
Christian Celesia,Serie A,DF,17.0,1,0,0.0,0,0,0,0
Christian Clemens,Bundesliga,"MF,FW",27.0,15,6,7.4,1,0,2,0
Christian Dalle Mura,Serie A,MF,17.0,1,0,0.0,0,0,0,0
Christian Eriksen,Serie A,"MF,DF",28.0,118,89,89.89999999999999,21,26,8,0
Christian Fuchs,Premier League,DF,34.0,48,39,40.0,0,1,5,0
Christian Gebauer,Bundesliga,"MF,FW",27.0,9,3,3.5,0,0,0,0
Christian Gentner,Bundesliga,MF,35.0,94,84,79.4,5,9,10,0
Christian Groß,Bundesliga,"MF,DF",31.0,27,20,19.5,0,1,6,0
Christian Günter,Bundesliga,DF,27.0,117,117,116.7,3,19,8,1
Christian Kabasele,Premier League,DF,28.0,76,72,68.5,2,2,12,3
Christian Kouakou,Ligue 1,FW,27.0,20,7,9.5,1,1,0,0
Christian Kouamé,Serie A,FW,23.0,73,51,53.599999999999994,11,8,6,0
Christian Maggio,Serie A,DF,38.0,21,8,10.399999999999999,0,0,2,0
Christian Mathenia,Bundesliga,GK,26.0,46,46,45.5,0,0,4,0
Christian Nørgaard,Serie A,MF,24.0,6,4,3.6,0,0,0,0
Christian Oliva,Serie A,MF,24.0,20,6,8.5,1,2,3,0
Christian Pastina,Serie A,DF,19.0,1,0,0.5,0,1,0,0
Christian Puggioni,Serie A,GK,36.0,23,23,22.1,0,0,0,1
Christian Pulisic,Premier League,"FW,MF",22.0,89,64,64.8,18,13,4,0
Christian Santos,La Liga,FW,29.0,10,5,4.9,2,0,3,2
Christian Strohdiek,Bundesliga,DF,31.0,16,16,15.1,1,2,3,0
Christoph Baumgartner,Bundesliga,"MF,FW",21.0,44,32,31.0,9,5,9,1
Christoph Daferner,Bundesliga,FW,20.0,1,0,0.3,0,0,0,0
Christoph Janker,Bundesliga,"MF,FW",33.0,9,1,1.7000000000000002,0,0,0,0
Christoph Kramer,Bundesliga,MF,29.0,83,70,66.5,5,1,15,0
Christoph Zimmermann,Premier League,DF,26.0,17,16,15.9,0,1,3,0
Christophe Hérelle,Ligue 1,DF,28.0,93,90,88.1,3,0,22,3
Christophe Jallet,Ligue 1,DF,35.0,41,34,32.3,2,1,7,0
Christophe Kerbrat,Ligue 1,DF,31.0,62,62,60.2,1,0,7,1
Christopher Antwi-Adjei,Bundesliga,"MF,FW",25.0,34,28,27.4,1,2,2,0
Christopher Jullien,Ligue 1,DF,25.0,64,64,62.4,2,1,15,0
Christopher Lenz,Bundesliga,DF,26.0,43,43,41.9,0,6,4,0
Christopher Martins,Ligue 1,MF,20.0,2,1,0.8,0,0,1,0
Christopher Nkunku,Bundesliga,"FW,MF",23.0,86,47,49.6,14,16,4,0
Christopher Rocchia,Ligue 1,DF,22.0,2,0,0.1,0,0,0,0
Christopher Schindler,Premier League,DF,28.0,74,74,72.5,1,1,12,3
Christopher Trimmel,Bundesliga,DF,33.0,47,47,45.9,0,14,10,0
Chuca,La Liga,MF,20.0,4,1,1.0,0,0,1,0
Churripi,La Liga,GK,25.0,3,3,2.7,0,0,0,0
Ciaran Clark,Premier League,DF,31.0,55,52,52.099999999999994,8,1,9,0
Cifu,La Liga,DF,30.0,5,2,2.2,0,0,1,0
Ciprian Tătărușanu,Serie A,GK,34.0,67,67,66.6,0,0,0,0
Ciro Immobile,Serie A,FW,30.0,122,115,111.00000000000001,92,23,20,2
Claud Adjapong,Serie A,DF,21.0,26,19,19.200000000000003,1,0,6,1
Claudio Beauvue,Ligue 1,FW,30.0,53,33,35.3,5,0,5,0
Claudio Bravo,La Liga,GK,37.0,16,14,15.4,0,0,0,0
Claudio Marchisio,Serie A,MF,31.0,15,9,9.1,0,1,1,0
Claudio Pizarro,Bundesliga,"FW,MF",40.0,60,8,16.700000000000003,6,3,1,0
Claudio Terzi,Serie A,DF,36.0,14,13,12.7,1,1,8,1
Claudio Yacob,Premier League,MF,30.0,16,9,10.0,0,0,5,0
Clinton N'Jie,Ligue 1,"FW,MF",24.0,39,12,13.7,10,5,2,0
Clément Depres,Ligue 1,FW,23.0,17,4,4.9,4,0,1,0
Clément Grenier,Ligue 1,MF,30.0,70,60,58.60000000000001,11,9,11,0
Clément Lenglet,La Liga,DF,25.0,102,97,94.6,7,2,35,4
Clément Michelin,Ligue 1,DF,23.0,20,11,10.8,0,2,2,1
Clément Vidal,Ligue 1,DF,19.0,1,1,1.0,0,0,1,0
Coke,La Liga,DF,33.0,70,50,50.2,8,0,14,3
Colin Dagba,Ligue 1,DF,22.0,42,24,26.5,1,4,6,0
Collin Quaner,Premier League,"FW,MF",27.0,28,13,14.6,0,4,4,0
Connor Goldson,Premier League,DF,24.0,3,2,2.2,0,0,1,0
Connor Roberts,Premier League,MF,21.0,4,3,3.0,0,0,0,0
Connor Wickham,Premier League,"FW,MF",26.0,12,0,1.8,1,2,0,0
