Player Name,Players Dribbled Past,Dribbles into PA
Fabrizio Cacciatore,5.0,0.0
Martín Cáceres,4.0,0.0
Anthony Caci,5.0,1.0
Jhonder Cádiz,26.0,12.0
Mathieu Cafaro,26.0,7.0
Jonathan Cafu,3.0,1.0
Gary Cahill,8.0,0.0
Felipe Caicedo,15.0,7.0
Arturo Calabresi,27.0,1.0
Davide Calabria,14.0,5.0
Riccardo Calafiori,0.0,0.0
Mattia Caldara,2.0,0.0
Marco Calderoni,12.0,3.0
Fernando Calero,1.0,0.0
Duje Ćaleta-Car,0.0,0.0
Hakan Çalhanoğlu,40.0,16.0
Daniel Caligiuri,48.0,17.0
José Callejón,10.0,7.0
Jonathan Calleri,19.0,9.0
Dominic Calvert-Lewin,18.0,14.0
Mahdi Camara,11.0,0.0
Souleymane Camara,2.0,1.0
Víctor Camarasa,0.0,0.0
Víctor Camarasa,16.0,1.0
Eduardo Camavinga,14.0,3.0
Sergio Camello,0.0,0.0
José Campaña,61.0,18.0
Xisco Campos,0.0,0.0
Víctor Campuzano,11.0,7.0
Emre Can,17.0,2.0
Emre Can,7.0,2.0
Sergio Canales,54.0,18.0
João Cancelo,49.0,12.0
Antonio Candreva,13.0,20.0
Gianmarco Cangiano,3.0,0.0
Todd Cantwell,61.0,26.0
Ander Capa,57.0,13.0
Pierrick Capelle,26.0,8.0
Étienne Capoue,33.0,4.0
Gianluca Caprari,15.0,6.0
Gianluca Caprari,14.0,4.0
Francesco Caputo,26.0,31.0
Maxence Caqueret,6.0,1.0
Andrea Carboni,0.0,0.0
Irvin Cardona,12.0,13.0
Marc Cardona,11.0,4.0
Diego Carlos,8.0,0.0
Lionel Carole,16.0,1.0
Yannick Carrasco,20.0,9.0
Daniel Carriço,3.0,1.0
Guido Carrillo,5.0,2.0
Andy Carroll,6.0,1.0
Dani Carvajal,32.0,19.0
Matis Carvalho,0.0,0.0
William Carvalho,15.0,1.0
Casemiro,23.0,2.0
Moreto Cassamã,16.0,0.0
Francesco Cassata,23.0,2.0
Timothy Castagne,16.0,3.0
Koen Casteels,1.0,0.0
Jean-Charles Castelletto,8.0,0.0
Samu Castillejo,24.0,15.0
Jonny Castro,40.0,17.0
Lucas Castro,6.0,1.0
Lucas Castro,16.0,0.0
Gaetano Castrovilli,99.0,26.0
Danilo Cataldi,4.0,0.0
Craig Cathcart,4.0,0.0
Edinson Cavani,6.0,1.0
Santi Cazorla,54.0,9.0
Dani Ceballos,31.0,6.0
Federico Ceccherini,4.0,1.0
Christian Celesia,0.0,0.0
Zeki Çelik,22.0,5.0
