Player Name,Current Market Value (USD)
Nemanja Matic,13200000.0
Illan Meslier,13200000.0
Lys Mousset,13200000.0
Ryan Fraser,13200000.0
Luka Milivojevic,13200000.0
Rob Holding,13200000.0
Neco Williams,11000000.0
Ethan Ampadu,11000000.0
Jesse Lingard,11000000.0
Karlan Grant,11000000.0
Conor Gallagher,11000000.0
Joe Rodon,11000000.0
Trezeguet,11000000.0
Jack Harrison,9900000.0
Vladimir Coufal,8800000.0
Fabian Delph,8800000.0
Oliver Norwood,7700000.0
Cenk Tosun,7700000.0
Jonjoe Kenny,7700000.0
Danny Rose,6600000.0
Jean Michaël Seri,5500000.0
Mesut Özil,5500000.0
Rhys Williams,5500000.0
Frédéric Guilbert,5500000.0
Tosin Adarabioyo,5500000.0
Antonee Robinson,5500000.0
Kortney Hause,4950000.0
Max Kilman,4950000.0
Nathaniel Clyne,4400000.0
Ezgjan Alioski,4400000.0
Odion Ighalo,4400000.0
Cédric Soares,4400000.0
James McArthur,3850000.0
Karl Darlow,3300000.0
Pascal Struijk,2750000.0
Dara O'Shea,2750000.0
Luke Thomas,2750000.0
Stefan Johansen,2200000.0
Adrián,2200000.0
Caoimhin Kelleher,2200000.0
Nathaniel Phillips,1980000.0
Jacob Ramsey,1650000.0
Ian Poveda,1650000.0
Owen Otasowie,1650000.0
Kamil Grosicki,1650000.0
Dan N'Lundulu,880000.0
Leif Davis,440000.0
Renat Dadashov,330000.0
Gaetano Berardi,330000.0
Karlo Ziger,165000.0
Percy Tau,4400000.0
Saïd Benrahma,24200000.0
Terence Kongolo,7150000.0
Morgan Gibbs-White,6600000.0
Jack Butland,3850000.0
Sadio Mané,132000000.0
Kevin De Bruyne,132000000.0
Mohamed Salah,132000000.0
Harry Kane,132000000.0
Trent Alexander-Arnold,121000000.0
Kai Havertz,89100000.0
Virgil van Dijk,88000000.0
Marcus Rashford,88000000.0
Alisson,88000000.0
Andrew Robertson,82500000.0
Roberto Firmino,79200000.0
Timo Werner,77000000.0
Rodri,70400000.0
Richarlison,66000000.0
Fabinho,66000000.0
Aymeric Laporte,66000000.0
Christian Pulisic,66000000.0
Phil Foden,66000000.0
Gabriel Jesus,66000000.0
Ederson,61600000.0
James Maddison,60500000.0
Declan Rice,60500000.0
Wilfried Zaha,55000000.0
Mason Greenwood,55000000.0
Ben Chilwell,55000000.0
Rúben Neves,55000000.0
Jorginho,55000000.0
Thomas Partey,55000000.0
Thiago,52800000.0
Riyad Mahrez,52800000.0
Wilfred Ndidi,49500000.0
Mason Mount,49500000.0
Mateo Kovacic,49500000.0
Nicolas Pépé,44000000.0
Kyle Walker,44000000.0
Nathan Aké,44000000.0
Ilkay Gündogan,44000000.0
Joe Gomez,44000000.0
Naby Keïta,44000000.0
Raúl Jiménez,44000000.0
Aaron Wan-Bissaka,44000000.0
Adama Traoré,44000000.0
Bukayo Saka,44000000.0
Tammy Abraham,44000000.0
Georginio Wijnaldum,44000000.0
Caglar Söyüncü,44000000.0
Diogo Jota,44000000.0
João Cancelo,39600000.0
Giovani Lo Celso,38500000.0
Nélson Semedo,38500000.0
Callum Hudson-Odoi,38500000.0
James Rodríguez,38500000.0
Joel Matip,35200000.0
Ricardo Pereira,35200000.0
Bernd Leno,35200000.0
Allan Saint-Maximin,35200000.0
Dani Ceballos,35200000.0
Ollie Watkins,33000000.0
James Tarkowski,30800000.0
Michael Keane,30800000.0
Steven Bergwijn,30800000.0
Jarrod Bowen,30800000.0
Benjamin Mendy,30800000.0
Gabriel,30800000.0
Harvey Barnes,30800000.0
Jordan Henderson,30800000.0
Sergio Reguilón,30800000.0
Douglas Luiz,29700000.0
Lewis Dunk,29700000.0
Tyrone Mings,29700000.0
Jordan Pickford,28600000.0
Alex Iwobi,28050000.0
Dwight McNeil,27500000.0
Abdoulaye Doucouré,27500000.0
Fábio Silva,27500000.0
Ben Godfrey,27500000.0
John Stones,27500000.0
Gabriel Martinelli,27500000.0
Allan,27500000.0
Conor Coady,27500000.0
Lucas Moura,27500000.0
Timothy Castagne,26400000.0
Victor Lindelöf,26400000.0
Alex Oxlade-Chamberlain,26400000.0
Andreas Christensen,26400000.0
Ruben Loftus-Cheek,26400000.0
Cengiz Ünder,25300000.0
Callum Wilson,24750000.0
Aleksandar Mitrovic,24200000.0
Luke Shaw,24200000.0
Neal Maupay,24200000.0
Dennis Praet,24200000.0
Ross Barkley,23650000.0
Ayoze Pérez,22000000.0
Oleksandr Zinchenko,22000000.0
Matt Doherty,22000000.0
Rayan Aït Nouri,22000000.0
Eric García,22000000.0
Carlos Vinícius,22000000.0
Dean Henderson,22000000.0
Diego Llorente,22000000.0
Yerry Mina,22000000.0
Wesley,22000000.0
Joelinton,22000000.0
Jean-Philippe Gbamin,22000000.0
André Zambo Anguissa,22000000.0
Toby Alderweireld,22000000.0
Danny Ings,22000000.0
Eddie Nketiah,22000000.0
Gylfi Sigurdsson,19800000.0
Raphinha,19800000.0
Ainsley Maitland-Niles,19800000.0
Eberechi Eze,19800000.0
Moussa Sissoko,19800000.0
Sander Berge,19800000.0
Mason Holgate,19800000.0
Tariq Lamptey,19800000.0
Nathan Redmond,19800000.0
Pablo Fornals,19800000.0
Ben Davies,19250000.0
Sean Longstaff,19250000.0
Eric Bailly,19250000.0
Robin Koch,18700000.0
Willy Boly,17600000.0
Divock Origi,17600000.0
Miguel Almirón,17600000.0
Aaron Ramsdale,17600000.0
Xherdan Shaqiri,17600000.0
Erik Lamela,17600000.0
Jamie Vardy,17600000.0
Jonny Otto,17600000.0
Joe Willock,17600000.0
Daniel James,17600000.0
Tom Davies,17600000.0
Leandro Trossard,16500000.0
Oliver McBurnie,16500000.0
Bernard,16500000.0
Adam Webster,16500000.0
Jamal Lewis,16500000.0
Ibrahima Diallo,16500000.0
Rhian Brewster,16500000.0
Kelechi Iheanacho,16500000.0
Jamaal Lascelles,15950000.0
Calum Chambers,15950000.0
Jonjo Shelvey,15950000.0
Manuel Lanzini,15400000.0
Rui Patrício,15400000.0
Gedson Fernandes,14850000.0
Alphonse Areola,14300000.0
Yves Bissouma,14300000.0
Matheus Pereira,14300000.0
Joachim Andersen,14300000.0
Bertrand Traoré,14300000.0
Moussa Djenepo,14300000.0
John Egan,14300000.0
Fabian Schär,14300000.0
Reiss Nelson,13750000.0
Grady Diangana,13200000.0
Chris Wood,13200000.0
Shkodran Mustafi,13200000.0
Edinson Cavani,13200000.0
Hugo Lloris,13200000.0
Michail Antonio,13200000.0
Nick Pope,13200000.0
Demarai Gray,13200000.0
Matty Cash,13200000.0
Ezri Konsa,13200000.0
Mohammed Salisu,13200000.0
Hélder Costa,13200000.0
Michy Batshuayi,13200000.0
Alexis Mac Allister,12100000.0
Brandon Williams,12100000.0
Matt Targett,11550000.0
Ryan Bertrand,11550000.0
Takumi Minamino,11000000.0
Mario Lemina,11000000.0
Jordan Ayew,11000000.0
Ademola Lookman,11000000.0
Jonny Evans,11000000.0
Jeffrey Schlupp,11000000.0
Theo Walcott,11000000.0
Romain Saïss,11000000.0
Davy Pröpper,11000000.0
Isaac Hayden,11000000.0
Mamadou Sakho,10450000.0
Andros Townsend,10450000.0
Seamus Coleman,10450000.0
Jack O'Connell,10450000.0
Matt Ritchie,10450000.0
Christian Benteke,9900000.0
Solly March,9900000.0
Tom Cairney,9900000.0
Harrison Reed,9900000.0
Jeff Hendrick,9900000.0
Konstantinos Tsimikas,9900000.0
Ivan Cavaleiro,8800000.0
Nampalys Mendy,8800000.0
Marvelous Nakamba,8800000.0
Patrick van Aanholt,8800000.0
Callum Robinson,8800000.0
John Fleck,8800000.0
Anwar El Ghazi,8800000.0
John Lundstram,8800000.0
Kasper Schmeichel,8800000.0
Fabián Balbuena,8800000.0
Oriol Romeu,8800000.0
Adam Lallana,8800000.0
Bobby Reid,8800000.0
Mathew Ryan,8800000.0
Axel Tuanzebe,8800000.0
Japhet Tanganga,8800000.0
Dwight Gayle,8800000.0
Cheikhou Kouyaté,8800000.0
Hamza Choudhury,8800000.0
Jack Cork,8800000.0
Ben Mee,8800000.0
Andriy Yarmolenko,8250000.0
Martin Dubravka,8250000.0
Arthur Masuaku,8250000.0
Billy Gilmour,8250000.0
Juan Mata,8250000.0
Facundo Pellistri,7700000.0
Aaron Connolly,7700000.0
Ola Aina,7700000.0
Liam Cooper,7700000.0
Pascal Groß,7700000.0
Mohamed Elneny,7700000.0
Ki-Jana Hoever,7700000.0
Steven Alzate,7700000.0
Pablo Marí,7700000.0
Jóhann Berg Gudmundsson,7150000.0
Filip Krovinovic,7150000.0
Alex McCarthy,7150000.0
Ashley Barnes,7150000.0
Stuart Armstrong,7150000.0
José Izquierdo,7150000.0
George Baldock,7150000.0
Björn Engels,7150000.0
Danny Ward,7150000.0
Aaron Cresswell,7150000.0
Sam Johnstone,7150000.0
Jayden Bogle,6930000.0
Yan Valery,6930000.0
Phil Jones,6600000.0
Josh Onomah,6600000.0
Marcos Rojo,6600000.0
David Luiz,6600000.0
Marek Rodak,6600000.0
Zack Steffen,6600000.0
Michael Hector,6600000.0
Jay Rodríguez,6600000.0
Ashley Westwood,6050000.0
Jack Stephens,6050000.0
Matt Phillips,6050000.0
Josh Brownhill,6050000.0
Oliver Burke,6050000.0
Joe Bryan,6050000.0
Enda Stevens,6050000.0
Jake Livermore,6050000.0
Kenny Tete,6050000.0
João Moutinho,5500000.0
Joël Veltman,5500000.0
DeAndre Yedlin,5500000.0
James Milner,5500000.0
Semi Ajayi,5500000.0
Vitinha,5500000.0
Robin Olsen,5500000.0
Anthony Gordon,5500000.0
Angelo Ogbonna,5500000.0
Matthew Longstaff,5500000.0
Olivier Giroud,5500000.0
Alireza Jahanbakhsh,5500000.0
Dan Burn,5500000.0
Marc Albrighton,5500000.0
Tyrick Mitchell,5500000.0
Ciaran Clark,5280000.0
Dale Stephens,5280000.0
Robbie Brady,5280000.0
Paul Dummett,4950000.0
James McCarthy,4950000.0
Mark Noble,4950000.0
Michael Obafemi,4950000.0
Jairo Riedewald,4950000.0
Thiago Silva,4950000.0
Fraser Forster,4950000.0
Federico Fernández,4950000.0
Ben Woodburn,4950000.0
Craig Dawson,4400000.0
Ryan Fredericks,4400000.0
Fernandinho,4400000.0
Paulo Gazzaniga,4400000.0
Nathan Ferguson,4400000.0
Christian Atsu,4400000.0
Matthew Lowton,4400000.0
Matej Vydra,4400000.0
Charlie Taylor,4400000.0
Emil Krafth,4400000.0
Javier Manquillo,4400000.0
Vicente Guaita,4400000.0
Robert Snodgrass,4400000.0
James Tomkins,4400000.0
Tyler Roberts,3960000.0
Luke Ayling,3850000.0
Philippe Sandler,3850000.0
Tom Heaton,3850000.0
Mateusz Klich,3850000.0
Kenneth Zohore,3850000.0
Jacob Murphy,3850000.0
Yannick Bolasie,3850000.0
Daniel Amartey,3850000.0
Max Lowe,3850000.0
Romaine Sawyers,3520000.0
Joel Ward,3520000.0
Kieran Gibbs,3520000.0
Darnell Furlong,3520000.0
Andy Carroll,3520000.0
Adam Forshaw,3520000.0
Jonas Lössl,3300000.0
Chris Basham,3300000.0
Erik Pieters,3300000.0
Stuart Dallas,3300000.0
Will Smallbone,3300000.0
Niels Nkounkou,3300000.0
Martin Kelly,3080000.0
Florin Andone,3080000.0
Kyle Bartley,3080000.0
Shane Long,3080000.0
Scott Dann,3080000.0
Neil Taylor,3080000.0
Emile Smith Rowe,2970000.0
Lukasz Fabianski,2750000.0
Gary Cahill,2750000.0
Abdul Rahman Baba,2640000.0
Marçal,2640000.0
Joe Hart,2640000.0
Hal Robson-Kanu,2640000.0
Keinan Davis,2530000.0
Rekeem Harper,2530000.0
Jamie Shackleton,2530000.0
Darren Randolph,2420000.0
Ben Osborn,2200000.0
Wayne Hennessey,2200000.0
Kevin McDonald,2200000.0
Jack Robinson,2200000.0
Ben Johnson,2200000.0
Sergio Romero,2200000.0
Ahmed Elmohamady,2200000.0
Rúnar Alex Rúnarsson,2200000.0
Aboubakar Kamara,2200000.0
David McGoldrick,2200000.0
Sepp van den Berg,1980000.0
Kevin Long,1760000.0
Christian Fuchs,1760000.0
Denis Odoi,1760000.0
Maxime Le Marchand,1760000.0
Roderick Miranda,1650000.0
John Ruddy,1650000.0
Kiko Casilla,1650000.0
Andi Zeqiri,1650000.0
Joe Gelhardt,1430000.0
Beni Baningime,1430000.0
Kyle Edwards,1430000.0
Neeskens Kebano,1320000.0
David Button,1320000.0
Henri Lansbury,1320000.0
Jed Steer,1320000.0
Connor Wickham,1320000.0
Bailey Peacock-Farrell,1320000.0
Fabri,1320000.0
Tim Ream,1320000.0
Pablo Hernández,1320000.0
Cédric Kipré,1320000.0
Jack Rodwell,1320000.0
Sam Field,1100000.0
Charly Musonda Jr.,1100000.0
Branislav Ivanovic,1100000.0
Billy Sharp,1100000.0
Luke Matheson,990000.0
Wes Morgan,880000.0
Phil Bardsley,880000.0
Henri Saivet,880000.0
Conor Townsend,880000.0
Scott Carson,880000.0
Sam McQueen,880000.0
Lee Peltier,880000.0
Jay-Roy Grot,880000.0
Michael Verrips,880000.0
Christian Walton,880000.0
Nathan Tella,825000.0
Alfie Whiteman,825000.0
Jason Steele,660000.0
Eldin Jakupovic,660000.0
Willy Caballero,550000.0
João Virgínia,550000.0
Simon Moore,440000.0
Stephen Henderson,440000.0
Wes Foderingham,440000.0
Mark Gillespie,440000.0
Achraf Lazaar,385000.0
Lee Grant,385000.0
Ouasim Bouy,358000.0
Kean Bryan,275000.0
Oliver Casey,275000.0
Jake Vokins,275000.0
Conor Shaughnessy,275000.0
Will Norris,275000.0
David Martin,275000.0
Jimmy Dunne,220000.0
Harry Lewis,220000.0
Mace Goodridge,220000.0
Bobby Thomas,220000.0
Robert Sánchez,165000.0
Elia Caprile,110000.0
Sam Woods,83000.0
Lukas Jensen,28000.0
Jean-Philippe Mateta,16500000.0
Andy Lonergan,275000.0
Javi Navarro,220000.0
Óscar Mingueza,5500000.0
Konrad de la Fuente,2750000.0
Iñaki Peña,2750000.0
Gabriel Veiga,1100000.0
Edgar Sevikyan,770000.0
Pepe Sánchez,110000.0
Moussa Dembélé,33000000.0
João Félix,110000000.0
Jan Oblak,99000000.0
Lionel Messi,88000000.0
Ansu Fati,88000000.0
Thibaut Courtois,82500000.0
Marc-André ter Stegen,82500000.0
Raphaël Varane,77000000.0
Federico Valverde,77000000.0
Mikel Oyarzabal,77000000.0
Casemiro,77000000.0
Frenkie de Jong,71500000.0
José María Giménez,71500000.0
Saúl Ñíguez,66000000.0
Koke,66000000.0
Antoine Griezmann,66000000.0
Ousmane Dembélé,55000000.0
Pedri,55000000.0
Jules Koundé,55000000.0
Marcos Llorente,55000000.0
Pau Torres,55000000.0
Eden Hazard,55000000.0
Philippe Coutinho,55000000.0
Diego Carlos,55000000.0
Toni Kroos,55000000.0
Lucas Ocampos,49500000.0
Rodrygo,49500000.0
Renan Lodi,44000000.0
Miralem Pjanic,44000000.0
Ángel Correa,44000000.0
Vinícius Júnior,44000000.0
Mikel Merino,44000000.0
Clément Lenglet,44000000.0
Ferland Mendy,44000000.0
Daniel Carvajal,44000000.0
Martin Ødegaard,44000000.0
Carlos Soler,38500000.0
Marco Asensio,38500000.0
José Gayà,38500000.0
Maxi Gómez,35200000.0
Yannick Carrasco,33000000.0
Mario Hermoso,33000000.0
Unai Simón,33000000.0
Gerard Moreno,33000000.0
Éder Militão,33000000.0
Lucas Torreira,30800000.0
Iñaki Williams,27500000.0
Joan Jordán,27500000.0
Jordi Alba,27500000.0
Sergiño Dest,27500000.0
Iñigo Martínez,27500000.0
Paco Alcácer,27500000.0
Stefan Savic,27500000.0
Djené,27500000.0
Nabil Fekir,27500000.0
Trincão,27500000.0
Sergi Roberto,27500000.0
Karim Benzema,27500000.0
Alexander Isak,24200000.0
José Campaña,24200000.0
William Carvalho,22000000.0
Felipe,22000000.0
Mauro Arambarri,22000000.0
Portu,22000000.0
Thomas Lemar,22000000.0
Takefusa Kubo,22000000.0
Kieran Trippier,22000000.0
Marc Cucurella,22000000.0
Samu Chukwueze,22000000.0
Sergio Canales,22000000.0
Robin Le Normand,22000000.0
Igor Zubeldia,22000000.0
Yeray Álvarez,22000000.0
Álex Remiro,22000000.0
Unai Núñez,22000000.0
Ronald Araújo,22000000.0
Willian José,22000000.0
Isco,22000000.0
Riqui Puig,19800000.0
Nemanja Maksimovic,19800000.0
Enis Bardhi,19800000.0
Suso,18700000.0
Yuri Berchiche,17600000.0
Kang-in Lee,16500000.0
Martín Zubimendi,16500000.0
Bono,16500000.0
Yangel Herrera,16500000.0
Aritz Elustondo,16500000.0
Guido Rodríguez,16500000.0
Ander Barrenetxea,16500000.0
Gonçalo Guedes,16500000.0
Luis Suárez,16500000.0
Youssef En-Nesyri,16500000.0
Lucas Vázquez,16500000.0
Carles Aleñá,16500000.0
Geoffrey Kondogbia,16500000.0
Gabriel Paulista,16500000.0
Bryan Gil,16500000.0
Sergio Ramos,15400000.0
Pervis Estupiñán,15400000.0
Iker Muniain,15400000.0
Fernando Pacheco,15400000.0
Marcos Acuña,15400000.0
Óliver Torres,14300000.0
Óscar Rodríguez,13200000.0
Domingos Duarte,13200000.0
Luuk de Jong,13200000.0
Santi Mina,13200000.0
Gerard Piqué,13200000.0
Brais Méndez,13200000.0
Cucho Hernández,13200000.0
Loren Morón,13200000.0
Fran Beltrán,13200000.0
Manu Trigueros,12100000.0
Denis Suárez,11000000.0
Adnan Januzaj,11000000.0
Sergio Asenjo,11000000.0
Samuel Umtiti,11000000.0
Yunus Musah,11000000.0
Munir El Haddadi,11000000.0
Ivan Rakitic,11000000.0
Uros Racic,11000000.0
Andoni Gorosabel,11000000.0
Sergio Busquets,11000000.0
Mariano Díaz,11000000.0
Rui Silva,11000000.0
Marcelo,11000000.0
Marc Bartra,11000000.0
Mouctar Diakhaby,11000000.0
Nacho Fernández,11000000.0
Neto,11000000.0
Álvaro Odriozola,11000000.0
Marko Dmitrovic,11000000.0
Luka Modric,11000000.0
Juan Foyth,11000000.0
Chimy Ávila,11000000.0
Júnior Firpo,11000000.0
Dani Parejo,11000000.0
Alfonso Pedraza,11000000.0
Álex Berenguer,11000000.0
Rubén García,11000000.0
Darwin Machís,11000000.0
Iago Aspas,11000000.0
Unai López,11000000.0
Renato Tapia,11000000.0
Martin Braithwaite,9900000.0
Carlos Fernández,9900000.0
David Soria,9900000.0
Oussama Idrissi,9900000.0
Álex Moreno,9900000.0
Héctor Herrera,8800000.0
Moi Gómez,8800000.0
Tomas Vaclík,8800000.0
Roberto López,8800000.0
Roger Martí,8800000.0
Sime Vrsaljko,8800000.0
Aitor Fernández,8800000.0
Rúben Vezo,8800000.0
Aïssa Mandi,8800000.0
Kenedy,8800000.0
Mathí­as Olivera,8800000.0
Vitolo,8800000.0
Cristian Tello,8250000.0
Hugo Guillamón,8250000.0
Daniel Wass,8250000.0
David García,8250000.0
Diego Lainez,8250000.0
Ivo Grbic,7700000.0
Ante Budimir,7700000.0
Rubén Blanco,7700000.0
Enes Ünal,7700000.0
Néstor Araújo,7700000.0
Ander Capa,7700000.0
Borja Iglesias,7700000.0
Joseba Zaldua,7700000.0
Álex Fernández,7700000.0
Asier Illarramendi,7700000.0
Joseph Aidoo,7700000.0
Manu Vallejo,7700000.0
Jota,7150000.0
Antonio Sanabria,7150000.0
Shon Weissman,6600000.0
Nemanja Gudelj,6600000.0
Rubén Alcaraz,6600000.0
Roberto Torres,6600000.0
Lucas Olaza,6600000.0
Lucas Pérez,6600000.0
Jasper Cillessen,6600000.0
Francis Coquelin,6600000.0
Javi Ontiveros,6600000.0
Manu Sánchez,6600000.0
Jeison Murillo,6600000.0
Jaume Doménech,6600000.0
Aihen Muñoz,6600000.0
Ander Guevara,6600000.0
Mario Gaspar,6600000.0
Rafa Mir,6050000.0
Luis Milla,5500000.0
David Silva,5500000.0
Juan Miranda,5500000.0
Carlos Neva,5500000.0
Franco Vázquez,5500000.0
Yeremy Santos,5500000.0
Jaime Mata,5500000.0
José Luis Morales,5500000.0
Alejandro Pozo,5500000.0
Hugo Mallo,5500000.0
Jesús Vallejo,5500000.0
Jonathan Calleri,5500000.0
Víctor Laguardia,5500000.0
Antonio Puertas,5500000.0
Gonzalo Melero,5500000.0
Santiago Cáseres,5280000.0
Rubén Duarte,4950000.0
Raúl Guti,4950000.0
Nehuén Pérez,4950000.0
Florian Lejeune,4620000.0
Okay Yokuslu,4400000.0
Jony,4400000.0
Jorge de Frutos,4400000.0
Fernando Reges,4400000.0
Sidnei,4400000.0
Paulo Oliveira,4400000.0
Joselu,4400000.0
Sergi Guardiola,4400000.0
Rubén Peña,4400000.0
Eliaquim Mangala,4400000.0
Edu Expósito,4400000.0
Ángel Rodríguez,4400000.0
Rodrigo Battaglia,4400000.0
Joel Robles,4400000.0
Gero Rulli,4400000.0
Dani García,4400000.0
Denis Cheryshev,4400000.0
Marcos André,4400000.0
Oihan Sancet,3850000.0
Kévin Gameiro,3850000.0
Dani Martín,3850000.0
Vicente Iborra,3850000.0
Karim Rekik,3850000.0
Idrissa Doumbia,3850000.0
Sergi Gómez,3850000.0
Javi Galán,3850000.0
Kévin Rodrigues,3850000.0
Rubén Rochina,3850000.0
Fede San Emeterio,3850000.0
Martín Montoya,3850000.0
Asier Villalibre,3850000.0
Deyverson,3850000.0
Peru Nolaskoain,3850000.0
Raúl García,3850000.0
Víctor Mollejo,3850000.0
Emiliano Rigoni,3520000.0
Martín Aguirregabiria,3520000.0
Maxime Gonalons,3300000.0
Jesús Navas,3300000.0
Esteban Burgos,3300000.0
Toni Lato,3300000.0
Pablo Maffeo,3300000.0
Alberto Moreno,3300000.0
Fer Niño,3300000.0
Ante Palaversa,3300000.0
Iván Marcone,3300000.0
Modibo Sagnan,3300000.0
Jon Moncayola,3300000.0
Roque Mesa,3300000.0
Andriy Lunin,3300000.0
Joaquín Fernández,3300000.0
Nemanja Radoja,3300000.0
Sergio Escudero,3300000.0
Aridane Hernández,3300000.0
Jeremías Ledesma,3300000.0
Álvaro Fernández,3300000.0
Óscar Plano,3300000.0
Aarón Martín,3300000.0
Ramiro Funes Mori,3300000.0
Dimitri Foulquier,3300000.0
Yoshinori Muto,3080000.0
Dimitrios Siovas,3080000.0
Salvi Sánchez,3080000.0
Mickaël Malsa,3080000.0
Jordi Masip,3080000.0
Erick Cabaco,3080000.0
Javi Sánchez,3080000.0
Sandro Ramírez,3080000.0
Pere Pons,3080000.0
Joris Gnagnon,2750000.0
Álvaro Giménez,2750000.0
Jason,2750000.0
Guido Carrillo,2750000.0
Víctor Ruiz,2750000.0
Jon Morcillo,2750000.0
Nikola Vukcevic,2750000.0
Allan Nyom,2750000.0
Iñigo Córdoba,2750000.0
Juan Cruz,2750000.0
Sergio Gómez,2750000.0
Borja Sainz,2750000.0
Juanmi,2750000.0
Juan Sánchez Miño,2750000.0
Miguel Baeza,2750000.0
Rodrigo Ely,2750000.0
Óscar de Marcos,2750000.0
Raúl Albiol,2750000.0
Thierry Correia,2750000.0
Choco Lozano,2750000.0
Toni Villa,2750000.0
Jorge Miramón,2420000.0
Étienne Capoue,2200000.0
Jota Peleteiro,2200000.0
Luis Rioja,2200000.0
Ramon Azeez,2200000.0
Edgar Méndez,2200000.0
Aitor Ruibal,2200000.0
Youssouf Koné,2200000.0
José Ángel,2200000.0
Martín Merquelanz,2200000.0
Carlos Clerc,2200000.0
Aleix Vidal,2200000.0
Sergi Enrich,2200000.0
Nacho Vidal,2200000.0
Ximo Navarro,2200000.0
Alfonso Espino,2200000.0
Matheus Fernandes,2200000.0
Mikel Vesga,2200000.0
Takashi Inui,2200000.0
Kike García,2200000.0
Damián Suárez,2200000.0
Yan Eteki,2200000.0
Nacho Monreal,2200000.0
Jorge Pulido,2200000.0
Álex Baena,2200000.0
Rubén Yáñez,2200000.0
Alberto Soro,2200000.0
Jaume Costa,2200000.0
Unai Vencedor,1980000.0
Lucas Torró,1980000.0
Andrés Guardado,1980000.0
Sergio Herrera,1980000.0
Iago Herrerín,1980000.0
Lucas Boyé,1980000.0
Jens Jönsson,1980000.0
Iza Carcelén,1980000.0
Nacho Martínez,1980000.0
Carlos Bacca,1980000.0
Darko Brasanac,1980000.0
Víctor Camarasa,1980000.0
Rafa Soares,1980000.0
Jon Guridi,1980000.0
Pedro Bigas,1980000.0
Fidel,1650000.0
Ibai Gómez,1650000.0
Luca Sangalli,1650000.0
Jorge Molina,1650000.0
Joaquín,1650000.0
Dani Gómez,1650000.0
Rubén Sobrino,1650000.0
Recio,1650000.0
Borja García,1650000.0
Edgar Badia,1650000.0
Tete Morente,1650000.0
Sergio León,1650000.0
Paul Akouokou,1650000.0
Fabián Orellana,1650000.0
David Timor,1650000.0
Sergio Álvarez,1650000.0
Pablo Hervías,1650000.0
Saidy Janko,1650000.0
Francisco Portillo,1650000.0
Nolito,1650000.0
Iñigo Lekue,1650000.0
Ángel Montoro,1320000.0
David Costas,1320000.0
Sergio Postigo,1320000.0
Anaitz Arbilla,1320000.0
Mikel Balenziaga,1320000.0
Míchel Herrero,1320000.0
Adrián López,1320000.0
Gastón Silva,1320000.0
Rober Pier,1320000.0
Fali,1320000.0
John Guidetti,1320000.0
Enric Gallego,1320000.0
Jeison Lucumí,1320000.0
Tomás Pina,1320000.0
Roberto Soldado,1320000.0
Shinji Okazaki,1320000.0
Ivan Saponjic,1320000.0
Álvaro Negredo,1320000.0
Jon Bautista,1320000.0
Waldo Rubio,1320000.0
Juan Cala,1320000.0
Iván Alejo,1320000.0
Jorge Pombo,1320000.0
Jawad El Yamiq,1320000.0
Bruno González,1100000.0
Unai García,1100000.0
Pablo Insua,1100000.0
Aarón Escandell,1100000.0
Iván Villar,1100000.0
David Ferreiro,1100000.0
Víctor Díaz,1100000.0
