Player Name,League,Position,Age,Matches Played,Starts,90s Played,Goals,Assists,Yellow Cards,Red Cards,Total Shots,Shots on Target,Passes Completed,Passes Attempted,Key Passes,Completed Passes into PA,Players Dribbled Past,Dribbles into PA,Current Market Value (USD)
Calum Chambers,Premier League,DF,24.0,57.0,52.0,50.599999999999994,3.0,1.0,15.0,0.0,56.0,17.0,2407.0,3012.0,21.0,25.0,48.0,3.0,15950000.0
Stefan Lainer,Bundesliga,DF,28.0,48.0,46.0,45.0,2.0,3.0,11.0,0.0,28.0,8.0,1752.0,2443.0,57.0,66.0,58.0,15.0,15950000.0
Jamaal Lascelles,Premier League,DF,27.0,98.0,97.0,94.6,4.0,1.0,15.0,0.0,37.0,13.0,2648.0,3363.0,9.0,6.0,24.0,0.0,15950000.0
Benjamin André,Ligue 1,MF,30.0,109.0,104.0,101.4,8.0,4.0,29.0,3.0,89.0,25.0,4516.0,5628.0,75.0,61.0,102.0,8.0,15400000.0
Iker Muniain,La Liga,"MF,FW",28.0,97.0,75.0,75.4,20.0,7.0,13.0,1.0,84.0,40.0,2809.0,3370.0,99.0,102.0,159.0,30.0,15400000.0
Jonas Hofmann,Bundesliga,"FW,MF",28.0,86.0,61.0,61.10000000000001,14.0,17.0,6.0,0.0,89.0,32.0,2314.0,2960.0,119.0,63.0,66.0,54.0,15400000.0
Fernando Pacheco,La Liga,GK,28.0,119.0,118.0,117.5,0.0,0.0,6.0,1.0,0.0,0.0,1837.0,3158.0,5.0,2.0,1.0,0.0,15400000.0
Brahim Díaz,Serie A,"MF,FW",21.0,34.0,14.0,12.7,2.0,3.0,2.0,0.0,28.0,11.0,429.0,501.0,14.0,14.0,43.0,9.0,15400000.0
Manuel Lanzini,Premier League,"MF,FW",27.0,72.0,47.0,49.099999999999994,7.0,10.0,8.0,0.0,87.0,30.0,2292.0,2724.0,81.0,63.0,90.0,21.0,15400000.0
Pervis Estupiñán,La Liga,DF,22.0,49.0,39.0,40.300000000000004,1.0,5.0,8.0,0.0,26.0,6.0,1638.0,2224.0,54.0,72.0,72.0,16.0,15400000.0
Robert Skov,Bundesliga,"DF,FW",24.0,42.0,34.0,36.1,4.0,7.0,4.0,1.0,76.0,22.0,1202.0,1630.0,65.0,44.0,58.0,28.0,15400000.0
Hamed Junior Traorè,Serie A,"MF,FW",20.0,79.0,55.0,51.1,8.0,4.0,9.0,0.0,105.0,40.0,1697.0,2184.0,71.0,66.0,114.0,26.0,15400000.0
Elseid Hysaj,Serie A,DF,26.0,90.0,84.0,82.1,1.0,6.0,10.0,1.0,34.0,7.0,5440.0,6340.0,63.0,69.0,84.0,27.0,15400000.0
Orel Mangala,Bundesliga,MF,22.0,35.0,22.0,23.7,1.0,2.0,5.0,0.0,29.0,8.0,852.0,1038.0,10.0,12.0,59.0,3.0,15400000.0
Kevin Kampl,Bundesliga,MF,30.0,79.0,68.0,64.7,5.0,10.0,13.0,0.0,76.0,26.0,3363.0,3994.0,113.0,83.0,89.0,20.0,15400000.0
Marcos Acuña,La Liga,DF,29.0,15.0,14.0,13.6,0.0,0.0,1.0,0.0,9.0,1.0,665.0,830.0,16.0,18.0,22.0,5.0,15400000.0
Christian Kouamé,Serie A,FW,23.0,73.0,51.0,53.599999999999994,11.0,8.0,6.0,0.0,134.0,43.0,1023.0,1464.0,66.0,43.0,97.0,37.0,15400000.0
Mário Rui,Serie A,DF,29.0,82.0,72.0,70.60000000000001,3.0,7.0,24.0,3.0,66.0,17.0,5150.0,6208.0,109.0,136.0,74.0,15.0,15400000.0
Sergio Ramos,La Liga,DF,34.0,103.0,103.0,99.9,23.0,2.0,29.0,5.0,103.0,35.0,6384.0,7019.0,28.0,25.0,31.0,4.0,15400000.0
Rui Patrício,Premier League,GK,32.0,94.0,94.0,94.0,0.0,0.0,2.0,0.0,0.0,0.0,1324.0,2104.0,0.0,0.0,0.0,0.0,15400000.0
Stanislav Lobotka,Serie A,MF,26.0,110.0,87.0,86.90000000000002,0.0,1.0,6.0,0.0,28.0,7.0,4531.0,5037.0,46.0,30.0,84.0,7.0,15400000.0
Paulinho,La Liga,MF,29.0,62.0,22.0,27.0,12.0,4.0,3.0,0.0,58.0,26.0,1252.0,1449.0,20.0,22.0,59.0,13.0,14850000.0
Gedson Fernandes,Premier League,"MF,DF",20.0,7.0,0.0,0.8,0.0,0.0,0.0,0.0,2.0,0.0,40.0,51.0,2.0,3.0,3.0,1.0,14850000.0
Faitout Maouassa,Ligue 1,DF,22.0,79.0,65.0,61.4,3.0,6.0,8.0,1.0,49.0,19.0,1997.0,2679.0,43.0,42.0,83.0,19.0,14300000.0
Sebastiaan Bornauw,Bundesliga,DF,21.0,43.0,43.0,42.2,6.0,1.0,7.0,1.0,24.0,8.0,1423.0,1739.0,6.0,7.0,9.0,0.0,14300000.0
Bertrand Traoré,Premier League,"FW,MF",25.0,101.0,72.0,69.6,24.0,11.0,14.0,0.0,205.0,76.0,2304.0,2942.0,90.0,102.0,192.0,76.0,14300000.0
Dennis Geiger,Bundesliga,MF,22.0,55.0,44.0,40.199999999999996,3.0,6.0,17.0,1.0,46.0,11.0,1635.0,1938.0,73.0,40.0,25.0,9.0,14300000.0
Alphonse Areola,Premier League,GK,27.0,78.0,78.0,78.0,0.0,0.0,2.0,0.0,0.0,0.0,1416.0,1694.0,0.0,0.0,0.0,0.0,14300000.0
Germán Pezzella,Serie A,DF,29.0,112.0,112.0,107.79999999999998,7.0,2.0,31.0,0.0,94.0,20.0,4498.0,5292.0,20.0,12.0,18.0,1.0,14300000.0
Óliver Torres,La Liga,"MF,FW",26.0,43.0,28.0,24.7,3.0,3.0,7.0,0.0,21.0,11.0,1219.0,1478.0,30.0,41.0,31.0,6.0,14300000.0
Leonardo Bonucci,Serie A,DF,33.0,114.0,112.0,110.4,10.0,1.0,20.0,1.0,76.0,23.0,5880.0,6776.0,34.0,50.0,11.0,0.0,14300000.0
Ludovic Blas,Ligue 1,"MF,FW",23.0,107.0,81.0,81.2,14.0,9.0,11.0,2.0,161.0,54.0,2421.0,3015.0,69.0,56.0,237.0,40.0,14300000.0
Francesco Acerbi,Serie A,DF,32.0,126.0,126.0,124.2,5.0,4.0,15.0,1.0,54.0,16.0,5498.0,6332.0,33.0,33.0,44.0,4.0,14300000.0
Joachim Andersen,Ligue 1,DF,24.0,71.0,68.0,67.89999999999999,1.0,1.0,14.0,1.0,32.0,6.0,3858.0,4371.0,12.0,12.0,18.0,0.0,14300000.0
Marcos Alonso,Premier League,DF,30.0,85.0,82.0,80.8,13.0,8.0,17.0,0.0,140.0,38.0,4169.0,5146.0,90.0,83.0,55.0,25.0,14300000.0
Stefan Posch,Bundesliga,DF,23.0,67.0,65.0,61.6,0.0,0.0,24.0,1.0,39.0,11.0,3033.0,3664.0,14.0,26.0,22.0,1.0,14300000.0
Matheus Pereira,Premier League,"MF,FW",24.0,34.0,29.0,25.9,7.0,5.0,4.0,2.0,50.0,17.0,692.0,946.0,38.0,40.0,75.0,10.0,14300000.0
Jordan Torunarigha,Bundesliga,DF,23.0,50.0,42.0,42.5,4.0,3.0,7.0,2.0,11.0,4.0,1744.0,2060.0,12.0,6.0,21.0,5.0,14300000.0
Maximilian Eggestein,Bundesliga,MF,24.0,116.0,114.0,112.5,10.0,11.0,16.0,0.0,143.0,44.0,3743.0,4812.0,99.0,87.0,91.0,27.0,14300000.0
Samu Castillejo,Serie A,FW,26.0,97.0,55.0,54.199999999999996,13.0,10.0,13.0,1.0,127.0,44.0,1745.0,2282.0,108.0,72.0,114.0,58.0,14300000.0
Youssouf Fofana,Ligue 1,MF,22.0,54.0,46.0,43.599999999999994,3.0,4.0,7.0,1.0,53.0,12.0,1675.0,1996.0,36.0,30.0,62.0,9.0,14300000.0
