Player Name,League,Position,Age,Matches Played,Starts,90s Played,Goals,Assists,Yellow Cards,Red Cards,Total Shots,Shots on Target,Passes Completed,Passes Attempted,Key Passes,Completed Passes into PA,Players Dribbled Past,Dribbles into PA
Abdou Diallo,Ligue 1,DF,24.0,84.0,78.0,75.9,3.0,3.0,12.0,3.0,27.0,8.0,4281.0,4920.0,20.0,37.0,101.0,4.0
Abdou Lahat Diakhate,Serie A,FW,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abdoul Camara,Ligue 1,"FW,MF",27.0,14.0,12.0,10.8,2.0,1.0,0.0,0.0,19.0,6.0,223.0,313.0,9.0,9.0,22.0,15.0
Abdoul Kader Bamba,Ligue 1,"FW,MF",26.0,46.0,22.0,24.5,3.0,4.0,6.0,0.0,31.0,14.0,855.0,1105.0,54.0,32.0,82.0,35.0
Abdoulay Diaby,La Liga,MF,29.0,1.0,0.0,0.2,0.0,0.0,0.0,0.0,1.0,0.0,5.0,10.0,1.0,0.0,0.0,0.0
Abdoulaye Ba,La Liga,DF,27.0,26.0,25.0,23.4,1.0,0.0,4.0,2.0,9.0,4.0,856.0,1037.0,1.0,0.0,4.0,0.0
Abdoulaye Bamba,Ligue 1,DF,30.0,65.0,62.0,61.10000000000001,0.0,4.0,11.0,0.0,13.0,2.0,2240.0,2916.0,33.0,36.0,40.0,8.0
Abdoulaye Dabo,Ligue 1,FW,17.0,2.0,2.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,26.0,32.0,3.0,2.0,2.0,0.0
Abdoulaye Diallo,Ligue 1,GK,26.0,9.0,9.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,147.0,212.0,0.0,0.0,0.0,0.0
Abdoulaye Doucouré,Premier League,MF,28.0,126.0,124.0,122.1,17.0,13.0,31.0,0.0,176.0,50.0,5565.0,6748.0,120.0,119.0,141.0,28.0
Abdoulaye Sidibé,Ligue 1,MF,18.0,1.0,0.0,0.1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
Abdoulaye Touré,Ligue 1,MF,26.0,114.0,96.0,97.30000000000001,8.0,3.0,12.0,1.0,146.0,36.0,3879.0,4749.0,68.0,47.0,148.0,13.0
Abdul Majeed Waris,Ligue 1,"FW,MF",29.0,53.0,33.0,33.6,8.0,4.0,4.0,0.0,50.0,17.0,590.0,817.0,25.0,22.0,62.0,30.0
Abdón Prats,La Liga,"FW,MF",26.0,20.0,0.0,3.1,0.0,0.0,1.0,0.0,9.0,4.0,46.0,73.0,2.0,0.0,2.0,1.0
Abel Ruiz,La Liga,FW,18.0,1.0,0.0,0.2,0.0,0.0,0.0,0.0,1.0,1.0,9.0,12.0,1.0,0.0,2.0,2.0
Ablie Jallow,Ligue 1,"MF,FW",18.0,2.0,2.0,1.4,0.0,0.0,0.0,0.0,3.0,0.0,34.0,44.0,1.0,2.0,3.0,0.0
Abou Ouattara,Ligue 1,MF,19.0,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0
Aboubakar Kamara,Premier League,"FW,DF",25.0,24.0,7.0,11.2,3.0,0.0,3.0,1.0,23.0,10.0,263.0,370.0,15.0,6.0,24.0,8.0
Achraf Hakimi,Serie A,DF,22.0,81.0,68.0,70.60000000000001,15.0,18.0,12.0,0.0,83.0,39.0,4339.0,5148.0,71.0,99.0,164.0,76.0
Achraf Lazaar,Serie A,"DF,MF",25.0,9.0,6.0,5.3,1.0,0.0,0.0,0.0,6.0,4.0,120.0,173.0,3.0,5.0,17.0,1.0
Adalberto Peñaranda,La Liga,"FW,MF",20.0,13.0,11.0,8.9,0.0,0.0,3.0,0.0,21.0,7.0,187.0,243.0,7.0,5.0,16.0,4.0
Adam Bodzek,Bundesliga,MF,33.0,49.0,42.0,40.099999999999994,0.0,1.0,15.0,1.0,12.0,5.0,1170.0,1391.0,15.0,8.0,8.0,0.0
Adam Idah,Premier League,"FW,MF",18.0,12.0,1.0,2.5,0.0,0.0,0.0,0.0,6.0,2.0,37.0,48.0,1.0,0.0,0.0,1.0
Adam Lallana,Premier League,"MF,FW",32.0,54.0,19.0,21.3,1.0,2.0,3.0,0.0,28.0,3.0,975.0,1171.0,37.0,32.0,31.0,16.0
Adam Marušić,Serie A,DF,28.0,90.0,76.0,76.3,6.0,8.0,10.0,2.0,83.0,31.0,2570.0,3205.0,84.0,73.0,95.0,49.0
Adam Masina,Premier League,DF,25.0,74.0,64.0,62.8,1.0,2.0,16.0,1.0,37.0,6.0,2304.0,3176.0,39.0,45.0,52.0,7.0
Adam Ounas,Serie A,"MF,FW",24.0,48.0,23.0,23.0,5.0,4.0,2.0,1.0,52.0,18.0,731.0,961.0,50.0,53.0,88.0,27.0
Adam Smith,Premier League,DF,28.0,76.0,71.0,68.8,2.0,5.0,18.0,1.0,24.0,5.0,2564.0,3223.0,39.0,45.0,75.0,21.0
Adam Webster,Premier League,DF,26.0,49.0,49.0,47.6,3.0,1.0,7.0,0.0,33.0,12.0,2510.0,2994.0,15.0,10.0,21.0,5.0
Adam Zreľák,Bundesliga,FW,24.0,14.0,10.0,10.5,2.0,1.0,4.0,0.0,15.0,6.0,110.0,183.0,7.0,3.0,1.0,1.0
Adama Diakhaby,Premier League,"FW,MF",22.0,34.0,16.0,15.6,2.0,2.0,3.0,1.0,21.0,7.0,258.0,378.0,12.0,8.0,24.0,13.0
Adama Mbengue,Ligue 1,DF,24.0,30.0,26.0,25.9,0.0,0.0,5.0,1.0,26.0,1.0,738.0,1185.0,13.0,25.0,44.0,11.0
Adama Niane,Ligue 1,FW,24.0,33.0,25.0,24.1,8.0,2.0,6.0,0.0,69.0,23.0,352.0,539.0,16.0,7.0,20.0,11.0
Adama Soumaoro,Ligue 1,DF,28.0,51.0,46.0,45.6,2.0,1.0,11.0,1.0,16.0,3.0,2112.0,2267.0,3.0,1.0,7.0,0.0
Adama Traoré,Premier League,"FW,DF",24.0,110.0,63.0,67.7,9.0,15.0,7.0,0.0,104.0,32.0,1672.0,2367.0,135.0,97.0,342.0,119.0
Aday,La Liga,"DF,MF",30.0,41.0,28.0,27.599999999999998,2.0,2.0,12.0,0.0,41.0,17.0,925.0,1331.0,37.0,39.0,38.0,16.0
Adel Taarabt,Serie A,"FW,MF",28.0,22.0,18.0,17.9,2.0,2.0,4.0,1.0,32.0,11.0,572.0,743.0,35.0,33.0,62.0,25.0
Adem Ljajić,Serie A,FW,26.0,28.0,23.0,24.400000000000002,6.0,10.0,2.0,0.0,65.0,24.0,1026.0,1298.0,67.0,61.0,52.0,17.0
Ademola Lookman,Premier League,FW,23.0,65.0,25.0,32.0,8.0,8.0,4.0,0.0,73.0,26.0,913.0,1160.0,55.0,39.0,103.0,32.0
Adil Aouchiche,Ligue 1,"MF,FW",18.0,19.0,13.0,11.5,2.0,3.0,1.0,0.0,17.0,8.0,338.0,482.0,32.0,11.0,28.0,10.0
Adil Rami,Ligue 1,DF,32.0,49.0,49.0,48.5,2.0,2.0,7.0,0.0,27.0,4.0,2290.0,2713.0,10.0,7.0,10.0,0.0
Adil Taoui,Ligue 1,MF,17.0,2.0,0.0,0.3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Adilson Malanda,Ligue 1,MF,19.0,1.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0
Admir Mehmedi,Bundesliga,"MF,FW",29.0,75.0,51.0,49.300000000000004,11.0,12.0,4.0,0.0,79.0,29.0,1636.0,2219.0,89.0,75.0,48.0,34.0
Adnan Januzaj,La Liga,"MF,FW",25.0,82.0,48.0,48.099999999999994,9.0,12.0,9.0,0.0,131.0,35.0,1245.0,1800.0,87.0,99.0,186.0,83.0
Adri Embarba,La Liga,"MF,FW",27.0,54.0,44.0,40.599999999999994,7.0,10.0,9.0,1.0,83.0,29.0,756.0,1279.0,74.0,40.0,94.0,28.0
Adrian Grbić,Ligue 1,FW,24.0,18.0,7.0,7.2,3.0,0.0,0.0,0.0,19.0,7.0,70.0,134.0,1.0,1.0,4.0,5.0
Adrian Mariappa,Premier League,DF,32.0,74.0,59.0,62.8,0.0,0.0,13.0,1.0,16.0,3.0,1928.0,2497.0,13.0,10.0,8.0,2.0
Adrian Stoian,Serie A,"MF,FW",26.0,32.0,26.0,23.7,2.0,4.0,5.0,0.0,21.0,7.0,628.0,1025.0,20.0,37.0,45.0,12.0
Adrian Šemper,Serie A,GK,20.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,200.0,0.0,0.0,0.0,0.0
Adrien Hunou,Ligue 1,"FW,MF",27.0,80.0,49.0,49.1,25.0,2.0,5.0,0.0,105.0,48.0,988.0,1266.0,39.0,23.0,27.0,17.0
Adrien Lebeau,Ligue 1,MF,20.0,2.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,1.0,0.0
Adrien Rabiot,Serie A,MF,25.0,89.0,70.0,69.6,5.0,6.0,18.0,2.0,62.0,19.0,4517.0,4977.0,50.0,58.0,109.0,24.0
Adrien Silva,Serie A,MF,31.0,62.0,42.0,43.0,0.0,3.0,19.0,0.0,36.0,8.0,2021.0,2398.0,33.0,24.0,51.0,2.0
Adrien Tameze,Serie A,MF,26.0,95.0,76.0,73.3,2.0,4.0,13.0,0.0,43.0,11.0,3644.0,4139.0,59.0,41.0,122.0,11.0
Adrien Thomasson,Ligue 1,MF,27.0,115.0,95.0,92.8,20.0,12.0,15.0,1.0,187.0,58.0,3053.0,3993.0,128.0,96.0,91.0,38.0
Adrien Truffert,Ligue 1,"DF,MF",19.0,13.0,10.0,10.4,1.0,3.0,2.0,0.0,10.0,2.0,530.0,638.0,13.0,13.0,8.0,3.0
Adrián,Premier League,GK,34.0,32.0,30.0,30.7,0.0,0.0,3.0,0.0,0.0,0.0,457.0,806.0,0.0,0.0,0.0,0.0
Adrián Cubas,Ligue 1,MF,24.0,14.0,14.0,12.8,1.0,0.0,4.0,1.0,6.0,3.0,445.0,550.0,4.0,2.0,8.0,1.0
Adrián Diéguez,La Liga,DF,22.0,15.0,14.0,13.100000000000001,0.0,0.0,8.0,0.0,4.0,1.0,283.0,372.0,1.0,4.0,12.0,2.0
Adrián González,La Liga,MF,29.0,29.0,27.0,26.0,3.0,0.0,9.0,1.0,29.0,10.0,863.0,1096.0,18.0,10.0,13.0,2.0
Adrián Guerrero,La Liga,DF,21.0,2.0,1.0,1.4,0.0,0.0,1.0,0.0,0.0,0.0,60.0,81.0,0.0,0.0,2.0,0.0
Adrián López,La Liga,FW,33.0,65.0,47.0,45.6,12.0,7.0,1.0,0.0,83.0,30.0,1054.0,1529.0,58.0,42.0,69.0,54.0
Adrián Marín,La Liga,"DF,MF",24.0,25.0,14.0,16.2,0.0,0.0,4.0,0.0,6.0,0.0,455.0,623.0,8.0,10.0,16.0,2.0
Adrián Ramos,La Liga,FW,33.0,7.0,2.0,2.5,0.0,0.0,0.0,0.0,6.0,2.0,49.0,75.0,1.0,2.0,0.0,0.0
Adrián Sahibeddine,Ligue 1,"FW,MF",22.0,2.0,0.0,0.2,0.0,0.0,0.0,0.0,2.0,0.0,5.0,6.0,0.0,1.0,3.0,0.0
Afonso Figueiredo,Ligue 1,"DF,FW",24.0,5.0,1.0,2.5,0.0,0.0,1.0,0.0,0.0,0.0,87.0,125.0,0.0,3.0,2.0,0.0
Afriyie Acquah,Serie A,MF,26.0,50.0,28.0,27.4,3.0,0.0,8.0,2.0,32.0,10.0,994.0,1215.0,14.0,16.0,54.0,7.0
Ager Aketxe,La Liga,MF,23.0,3.0,0.0,0.5,0.0,0.0,1.0,0.0,2.0,0.0,32.0,41.0,0.0,0.0,0.0,0.0
Agustín Rogel,Ligue 1,DF,21.0,10.0,9.0,9.5,0.0,0.0,0.0,0.0,3.0,0.0,295.0,338.0,2.0,0.0,1.0,0.0
Ahmad Benali,Serie A,MF,28.0,15.0,15.0,13.4,1.0,1.0,3.0,0.0,9.0,5.0,530.0,664.0,8.0,16.0,11.0,4.0
Ahmad Ngouyamsa,Ligue 1,DF,20.0,3.0,2.0,2.2,0.0,0.0,2.0,0.0,0.0,0.0,60.0,84.0,0.0,0.0,0.0,0.0
Ahmed Elmohamady,Premier League,DF,33.0,23.0,12.0,13.0,1.0,1.0,1.0,0.0,7.0,1.0,570.0,748.0,24.0,31.0,9.0,3.0
Ahmed Hegazi,Premier League,DF,29.0,39.0,39.0,38.6,2.0,0.0,4.0,0.0,16.0,4.0,895.0,1257.0,6.0,11.0,17.0,0.0
Ahmed Kutucu,Bundesliga,"FW,MF",20.0,45.0,6.0,13.399999999999999,5.0,2.0,3.0,0.0,28.0,12.0,215.0,315.0,10.0,5.0,38.0,11.0
Ahmet Gürleyen,Bundesliga,DF,19.0,1.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0
Aihen Muñoz,La Liga,DF,23.0,38.0,33.0,32.5,0.0,1.0,6.0,0.0,6.0,1.0,1295.0,1767.0,11.0,28.0,31.0,8.0
Ailton,Bundesliga,"DF,FW",22.0,5.0,1.0,1.2,0.0,0.0,0.0,0.0,1.0,0.0,45.0,62.0,2.0,2.0,1.0,0.0
Aimar Oroz,La Liga,FW,17.0,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0
Aimen Moueffek,Ligue 1,"DF,MF",19.0,8.0,5.0,5.3,0.0,0.0,2.0,0.0,0.0,0.0,207.0,275.0,7.0,5.0,15.0,0.0
Ainsley Maitland-Niles,Premier League,DF,23.0,62.0,39.0,42.0,1.0,3.0,9.0,2.0,17.0,5.0,2006.0,2458.0,25.0,47.0,70.0,18.0
Aitor Fernández,La Liga,GK,29.0,68.0,68.0,68.0,0.0,0.0,2.0,0.0,0.0,0.0,1411.0,2103.0,1.0,0.0,0.0,0.0
Aitor Ruibal,La Liga,"FW,MF",24.0,40.0,22.0,21.9,1.0,1.0,4.0,0.0,31.0,9.0,530.0,707.0,25.0,17.0,52.0,22.0
Ajdin Hrustic,Bundesliga,"MF,FW",24.0,3.0,0.0,0.6,0.0,0.0,0.0,0.0,1.0,1.0,38.0,46.0,1.0,2.0,2.0,0.0
Akaki Gogia,Bundesliga,"FW,MF",29.0,9.0,1.0,2.6,0.0,1.0,1.0,0.0,3.0,2.0,66.0,92.0,5.0,2.0,10.0,1.0
Akin Famewo,Premier League,MF,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alaixys Romao,Ligue 1,MF,35.0,58.0,57.0,54.900000000000006,0.0,3.0,19.0,3.0,28.0,4.0,1953.0,2410.0,22.0,28.0,57.0,2.0
Alan Empereur,Serie A,DF,26.0,17.0,12.0,11.9,0.0,0.0,4.0,0.0,3.0,0.0,491.0,588.0,1.0,2.0,3.0,0.0
Alassane Pléa,Bundesliga,FW,27.0,109.0,94.0,93.3,40.0,19.0,14.0,2.0,287.0,129.0,1974.0,2664.0,110.0,91.0,155.0,94.0
Alban Lafont,Ligue 1,GK,21.0,119.0,119.0,118.5,0.0,0.0,10.0,0.0,1.0,0.0,2207.0,3484.0,4.0,7.0,2.0,0.0
Albano Bizzarri,Serie A,GK,39.0,32.0,32.0,32.0,0.0,0.0,0.0,1.0,0.0,0.0,664.0,1045.0,1.0,0.0,1.0,0.0
Albert Lottin,Ligue 1,MF,17.0,3.0,1.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,26.0,30.0,0.0,0.0,3.0,0.0
Alberto Aquilani,La Liga,MF,33.0,21.0,15.0,14.4,0.0,0.0,4.0,0.0,13.0,4.0,826.0,992.0,10.0,8.0,11.0,0.0
Alberto Brignoli,Serie A,GK,25.0,13.0,11.0,12.5,1.0,0.0,2.0,0.0,1.0,1.0,292.0,477.0,0.0,0.0,0.0,0.0
Alberto Bueno,La Liga,"FW,MF",29.0,11.0,1.0,2.6,0.0,0.0,0.0,0.0,4.0,2.0,80.0,103.0,3.0,2.0,1.0,0.0
Alberto Cerri,Serie A,FW,24.0,41.0,14.0,16.0,2.0,0.0,5.0,0.0,42.0,11.0,331.0,508.0,23.0,13.0,21.0,7.0
Alberto Cifuentes,La Liga,GK,41.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,69.0,1.0,0.0,0.0,0.0
Alberto García,La Liga,GK,33.0,17.0,17.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,381.0,532.0,0.0,0.0,0.0,0.0
Alberto Grassi,Serie A,"DF,MF",25.0,61.0,43.0,43.6,4.0,1.0,10.0,0.0,56.0,18.0,1159.0,1405.0,16.0,21.0,34.0,10.0
Alberto López,La Liga,DF,22.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,15.0,22.0,0.0,0.0,0.0,0.0
Alberto Moreno,La Liga,DF,27.0,36.0,33.0,32.1,0.0,0.0,7.0,0.0,22.0,5.0,1712.0,2052.0,30.0,41.0,23.0,9.0
Alberto Paleari,Serie A,GK,28.0,2.0,1.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,26.0,44.0,0.0,0.0,0.0,0.0
Alberto Paloschi,Serie A,"FW,MF",29.0,76.0,39.0,41.099999999999994,9.0,0.0,5.0,0.0,51.0,17.0,495.0,675.0,24.0,5.0,28.0,13.0
Alberto Perea,La Liga,MF,30.0,13.0,7.0,7.9,1.0,1.0,0.0,0.0,17.0,2.0,190.0,258.0,6.0,6.0,42.0,6.0
Alberto Redondo,La Liga,DF,20.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,29.0,0.0,0.0,0.0,0.0
Alberto Soro,La Liga,"FW,MF",21.0,9.0,0.0,1.9,0.0,1.0,0.0,0.0,0.0,0.0,45.0,61.0,3.0,4.0,2.0,0.0
Alberto de la Bella,La Liga,DF,31.0,17.0,17.0,17.0,0.0,1.0,4.0,0.0,4.0,1.0,812.0,1035.0,17.0,27.0,6.0,2.0
Albian Ajeti,Premier League,"MF,FW",22.0,9.0,0.0,1.5,0.0,0.0,0.0,0.0,3.0,0.0,15.0,18.0,2.0,0.0,0.0,0.0
Albin Ekdal,Serie A,MF,31.0,100.0,85.0,83.3,2.0,4.0,22.0,0.0,52.0,7.0,3394.0,4004.0,52.0,37.0,84.0,6.0
Aleandro Rosi,Serie A,"DF,MF",30.0,24.0,22.0,18.9,0.0,1.0,5.0,0.0,14.0,4.0,565.0,812.0,8.0,6.0,15.0,2.0
Aleix Febas,La Liga,MF,23.0,29.0,22.0,18.8,0.0,3.0,4.0,0.0,8.0,3.0,585.0,691.0,19.0,9.0,30.0,6.0
Aleix García,La Liga,MF,21.0,51.0,27.0,28.1,3.0,1.0,4.0,0.0,30.0,8.0,1363.0,1675.0,36.0,18.0,24.0,0.0
Aleix Vidal,La Liga,DF,31.0,61.0,37.0,38.0,3.0,5.0,10.0,0.0,38.0,20.0,1243.0,1655.0,60.0,49.0,41.0,24.0
Alejandro Arribas,La Liga,DF,28.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,96.0,120.0,0.0,0.0,0.0,0.0
Alejandro Baena,La Liga,MF,19.0,2.0,1.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,17.0,18.0,0.0,0.0,0.0,0.0
Alejandro Blanco,La Liga,MF,22.0,8.0,2.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0,49.0,71.0,2.0,0.0,2.0,0.0
Alejandro Blesa,La Liga,MF,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0
Alejandro Gutiérrez Mozo,La Liga,MF,22.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,14.0,16.0,0.0,0.0,1.0,0.0
Alejandro López,La Liga,MF,21.0,4.0,1.0,1.2,0.0,0.0,1.0,0.0,1.0,0.0,66.0,76.0,0.0,1.0,0.0,0.0
Alejandro Millán,La Liga,FW,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Alejandro Pozo Pozo,La Liga,"DF,MF",21.0,35.0,27.0,28.5,1.0,2.0,0.0,0.0,10.0,2.0,976.0,1332.0,23.0,27.0,24.0,7.0
Alejandro Rodríguez,Serie A,FW,27.0,1.0,0.0,0.3,0.0,0.0,0.0,0.0,1.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0
Aleksa Terzić,Serie A,DF,19.0,2.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0
Aleksandar Dragović,Bundesliga,DF,29.0,57.0,37.0,43.0,3.0,0.0,16.0,1.0,11.0,4.0,2818.0,3174.0,8.0,8.0,6.0,0.0
Aleksandar Jovanović,La Liga,GK,25.0,12.0,12.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,158.0,335.0,0.0,0.0,0.0,0.0
Aleksandar Katai,La Liga,"FW,MF",26.0,3.0,0.0,0.6,0.0,0.0,0.0,0.0,3.0,0.0,9.0,11.0,0.0,0.0,2.0,0.0
Aleksandar Kolarov,Serie A,DF,35.0,107.0,100.0,100.99999999999999,17.0,12.0,16.0,1.0,176.0,42.0,5355.0,6873.0,209.0,175.0,120.0,56.0
Aleksandar Mitrović,Premier League,FW,26.0,57.0,45.0,46.4,14.0,5.0,9.0,0.0,161.0,53.0,957.0,1314.0,40.0,21.0,45.0,18.0
Aleksandar Radovanović,Ligue 1,DF,27.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,42.0,0.0,0.0,0.0,0.0
Aleksandar Sedlar,La Liga,DF,27.0,12.0,9.0,9.0,0.0,0.0,3.0,1.0,1.0,1.0,325.0,399.0,1.0,0.0,4.0,0.0
Aleksandar Tonev,Serie A,"FW,MF",27.0,8.0,5.0,4.5,0.0,0.0,0.0,0.0,10.0,3.0,65.0,110.0,3.0,5.0,4.0,3.0
Aleksandar Trajkovski,La Liga,"MF,DF",26.0,14.0,1.0,3.7,0.0,0.0,0.0,0.0,10.0,4.0,121.0,167.0,14.0,4.0,7.0,3.0
Aleksandr Golovin,Ligue 1,"MF,FW",24.0,60.0,53.0,50.199999999999996,7.0,8.0,13.0,2.0,95.0,32.0,1826.0,2372.0,79.0,67.0,106.0,40.0
Aleksei Miranchuk,Serie A,"FW,MF",25.0,10.0,1.0,2.6,1.0,0.0,0.0,0.0,5.0,2.0,86.0,114.0,2.0,3.0,7.0,3.0
Alen Halilović,La Liga,"FW,MF",21.0,20.0,16.0,14.5,2.0,1.0,1.0,1.0,38.0,15.0,373.0,514.0,21.0,21.0,26.0,11.0
Alessandro Bastoni,Serie A,DF,21.0,68.0,54.0,55.7,3.0,2.0,14.0,1.0,18.0,8.0,2803.0,3195.0,23.0,21.0,26.0,4.0
Alessandro Buongiorno,Serie A,DF,21.0,4.0,3.0,2.4,0.0,0.0,2.0,0.0,1.0,0.0,122.0,138.0,0.0,0.0,0.0,0.0
Alessandro Deiola,Serie A,MF,25.0,56.0,26.0,28.1,1.0,2.0,12.0,0.0,38.0,8.0,713.0,964.0,23.0,12.0,29.0,3.0
Alessandro Florenzi,Ligue 1,DF,29.0,100.0,82.0,80.4,6.0,6.0,14.0,2.0,114.0,26.0,3893.0,4981.0,116.0,151.0,56.0,49.0
Alessandro Gamberini,Serie A,DF,35.0,23.0,20.0,20.2,0.0,0.0,2.0,0.0,4.0,1.0,603.0,710.0,0.0,1.0,0.0,0.0
Alessandro Matri,Serie A,"FW,MF",34.0,50.0,13.0,17.9,5.0,0.0,5.0,1.0,49.0,20.0,285.0,386.0,23.0,9.0,21.0,9.0
Alessandro Murgia,Serie A,MF,22.0,57.0,39.0,40.0,0.0,4.0,7.0,1.0,48.0,13.0,1465.0,1753.0,56.0,14.0,23.0,7.0
Alessandro Schöpf,Bundesliga,"FW,MF",26.0,63.0,41.0,42.7,1.0,1.0,9.0,0.0,46.0,9.0,1445.0,1781.0,31.0,20.0,70.0,19.0
Alessandro Semprini,Serie A,DF,21.0,12.0,6.0,7.0,1.0,0.0,2.0,0.0,2.0,1.0,273.0,356.0,7.0,6.0,5.0,0.0
Alessandro Tripaldelli,Serie A,DF,21.0,9.0,4.0,4.2,0.0,0.0,1.0,0.0,0.0,0.0,121.0,166.0,0.0,1.0,3.0,0.0
Alessandro Tuia,Serie A,DF,30.0,14.0,8.0,8.7,1.0,0.0,2.0,0.0,6.0,1.0,334.0,403.0,3.0,3.0,2.0,0.0
