Player Name,Total Shots,Shots on Target
Manuel Cabit,0,0
Ariday Cabrera,1,1
Leandro Cabrera,9,3
Leandro Cabrera,1,0
Fabrizio Cacciatore,4,0
Martín Cáceres,12,3
Anthony Caci,4,3
Jhonder Cádiz,30,12
Mathieu Cafaro,38,14
Jonathan Cafu,1,0
Gary Cahill,20,5
Felipe Caicedo,30,14
Arturo Calabresi,6,1
Davide Calabria,13,2
Riccardo Calafiori,0,0
Mattia Caldara,4,0
Marco Calderoni,23,5
Fernando Calero,0,0
Duje Ćaleta-Car,15,4
Hakan Çalhanoğlu,102,32
Daniel Caligiuri,43,11
José Callejón,42,15
Jonathan Calleri,46,14
Dominic Calvert-Lewin,83,37
Mahdi Camara,7,2
Souleymane Camara,3,2
Víctor Camarasa,0,0
Víctor Camarasa,8,2
Eduardo Camavinga,16,4
Sergio Camello,0,0
José Campaña,44,8
Xisco Campos,4,0
Víctor Campuzano,18,7
Emre Can,16,4
Emre Can,7,2
Sergio Canales,47,14
João Cancelo,15,4
Antonio Candreva,43,14
Gianmarco Cangiano,0,0
Todd Cantwell,42,16
Ander Capa,17,7
Pierrick Capelle,35,11
Étienne Capoue,19,1
Gianluca Caprari,24,8
Gianluca Caprari,15,6
Francesco Caputo,72,33
Maxence Caqueret,4,2
Andrea Carboni,1,0
Irvin Cardona,50,14
Marc Cardona,13,4
Diego Carlos,20,2
Lionel Carole,5,0
Yannick Carrasco,17,6
Daniel Carriço,4,0
Guido Carrillo,35,12
Andy Carroll,15,3
Dani Carvajal,20,9
Matis Carvalho,0,0
William Carvalho,6,2
Casemiro,44,12
Moreto Cassamã,3,0
Francesco Cassata,13,8
Timothy Castagne,17,4
Koen Casteels,0,0
Jean-Charles Castelletto,3,1
Samu Castillejo,31,8
Jonny Castro,17,5
Lucas Castro,10,2
Lucas Castro,14,3
Gaetano Castrovilli,48,11
Danilo Cataldi,9,1
Craig Cathcart,2,1
Edinson Cavani,28,10
Santi Cazorla,39,14
Dani Ceballos,13,3
Federico Ceccherini,4,0
Christian Celesia,0,0
Zeki Çelik,5,1
Fabien Centonze,9,3
Luca Ceppitelli,5,2
Alberto Cerri,10,4
Alberto Cerri,7,3
Julian Chabot,1,1
Florian Chabrolle,0,0
Fouad Chafik,7,0
Sofian Chakla,1,0
Nathaniel Chalobah,9,0
Calum Chambers,12,2
Jhon Chancellor,13,3
Timothy Chandler,19,8
Kwon Chang-hoon,15,6
Gaëtan Charbonnier,48,14
Brendan Chardonnet,3,0
Charles,23,9
Xavier Chavalerin,19,3
Pablo Chavarría,5,0
