Player Name,Passes Completed,Passes Attempted,Key Passes,Completed Passes into PA
Sofian Chakla,4.0,7.0,0.0,0.0
Aníbal Chalá,199.0,253.0,3.0,1.0
Trevoh Chalobah,308.0,386.0,5.0,1.0
Timothy Chandler,19.0,26.0,0.0,0.0
Kwon Chang-hoon,45.0,58.0,1.0,0.0
Gaëtan Charbonnier,277.0,354.0,12.0,11.0
Brendan Chardonnet,499.0,597.0,2.0,0.0
Xavier Chavalerin,314.0,388.0,10.0,6.0
Pape Cheikh Diop,424.0,492.0,6.0,4.0
Chema,47.0,78.0,1.0,0.0
Rayan Cherki,150.0,185.0,5.0,7.0
Denis Cheryshev,120.0,191.0,10.0,6.0
Giorgio Chiellini,220.0,236.0,0.0,0.0
Federico Chiesa,91.0,118.0,5.0,6.0
Federico Chiesa,249.0,320.0,18.0,16.0
Ben Chilwell,930.0,1182.0,16.0,14.0
Vlad Chiricheș,787.0,852.0,4.0,0.0
Pedro Chirivella,487.0,565.0,8.0,5.0
Tahith Chong,86.0,136.0,5.0,3.0
Joris Chotard,131.0,183.0,3.0,2.0
Hamza Choudhury,50.0,69.0,0.0,0.0
Mounir Chouiar,268.0,358.0,21.0,3.0
Andreas Christensen,302.0,329.0,0.0,0.0
Samuel Chukwueze,206.0,273.0,12.0,12.0
Darko Churlinov,16.0,20.0,0.0,1.0
Cifu,36.0,44.0,0.0,0.0
Alberto Cifuentes,31.0,69.0,1.0,0.0
Luca Cigarini,300.0,357.0,7.0,3.0
Antonio Cioffi,10.0,11.0,1.0,1.0
Tim Civeja,0.0,1.0,0.0,0.0
Ciaran Clark,282.0,358.0,2.0,2.0
Alexis Claude-Maurice,161.0,195.0,5.0,3.0
Jonathan Clauss,450.0,598.0,20.0,26.0
Carlos Clerc,684.0,873.0,13.0,16.0
Nathaniel Clyne,319.0,418.0,2.0,8.0
Conor Coady,766.0,889.0,2.0,0.0
Marcus Coco,281.0,406.0,11.0,8.0
Coke,123.0,160.0,0.0,2.0
Séamus Coleman,306.0,364.0,4.0,3.0
Ebrima Colley,129.0,184.0,4.0,6.0
Omar Colley,365.0,472.0,1.0,0.0
Lorenzo Colombo,8.0,14.0,0.0,1.0
Racine Coly,18.0,20.0,0.0,0.0
Kingsley Coman,304.0,368.0,22.0,17.0
Daniel Congré,775.0,906.0,2.0,0.0
Aaron Connolly,57.0,73.0,4.0,1.0
Andrea Consigli,480.0,601.0,0.0,0.0
Andrea Conti,21.0,25.0,1.0,1.0
Liam Cooper,745.0,836.0,0.0,2.0
Francis Coquelin,240.0,273.0,1.0,1.0
Sébastien Corchia,371.0,519.0,14.0,6.0
Alex Cordaz,569.0,727.0,1.0,0.0
Iñigo Córdoba,17.0,36.0,0.0,1.0
Jhon Córdoba,127.0,169.0,11.0,3.0
Sergio Córdova,123.0,173.0,12.0,1.0
Andreas Cornelius,170.0,254.0,9.0,2.0
Maxwel Cornet,752.0,962.0,16.0,11.0
Ángel Correa,285.0,364.0,13.0,11.0
Joaquín Correa,279.0,329.0,12.0,10.0
Rober Correa,195.0,311.0,2.0,3.0
Thierry Correia,271.0,382.0,5.0,9.0
Angelo da Costa Júnior,249.0,287.0,0.0,0.0
Danny da Costa,34.0,49.0,0.0,3.0
David Pereira da Costa,19.0,27.0,1.0,0.0
Diego Costa,56.0,73.0,4.0,4.0
Douglas Costa,114.0,166.0,6.0,7.0
Douglas Costa,20.0,27.0,1.0,0.0
Hélder Costa,172.0,224.0,8.0,10.0
Jaume Costa,69.0,84.0,2.0,4.0
Benoît Costil,474.0,687.0,0.0,1.0
Vladimír Coufal,513.0,721.0,23.0,22.0
Kalifa Coulibaly,58.0,98.0,2.0,1.0
Lassana Coulibaly,332.0,388.0,1.0,1.0
Mamadou Coulibaly,63.0,82.0,2.0,3.0
Senou Coulibaly,249.0,300.0,0.0,0.0
Tanguy Coulibaly,140.0,195.0,8.0,4.0
Thibaut Courtois,512.0,627.0,0.0,1.0
Philippe Coutinho,454.0,523.0,7.0,15.0
Nicolas Cozza,234.0,284.0,1.0,1.0
Alessio Cragno,403.0,519.0,1.0,0.0
Aaron Cresswell,864.0,1160.0,30.0,14.0
Domenico Criscito,287.0,351.0,2.0,2.0
Bryan Cristante,509.0,607.0,6.0,8.0
Giovanni Crociata,11.0,16.0,1.0,1.0
Juan Cruz Armada,332.0,478.0,3.0,5.0
Juan Cuadrado,670.0,782.0,21.0,15.0
Adrián Cubas,445.0,550.0,4.0,2.0
Sergio Cubero Ezcurra,0.0,0.0,0.0,0.0
Cucho,260.0,382.0,13.0,13.0
Marc Cucurella,462.0,661.0,17.0,16.0
Mickaël Cuisance,9.0,10.0,0.0,0.0
Mickaël Cuisance,290.0,343.0,7.0,5.0
Matheus Cunha,313.0,448.0,26.0,16.0
Giuseppe Cuomo,274.0,334.0,0.0,0.0
Patrick Cutrone,44.0,56.0,0.0,0.0
Patrick Cutrone,4.0,5.0,0.0,0.0
Wylan Cyprien,202.0,238.0,3.0,3.0
Rafael Czichos,423.0,496.0,1.0,0.0
Lennart-Marten Czyborra,212.0,279.0,2.0,4.0
Danilo D'Ambrosio,242.0,273.0,1.0,2.0
Damien Da Silva,1075.0,1210.0,4.0,3.0
Bryan Dabo,223.0,298.0,5.0,7.0
Moanes Dabour,181.0,242.0,9.0,9.0
Colin Dagba,501.0,570.0,9.0,11.0
Finn Dahmen,17.0,23.0,0.0,0.0
Mahmoud Dahoud,181.0,211.0,2.0,3.0
Stuart Dallas,1006.0,1226.0,10.0,17.0
Diogo Dalot,186.0,231.0,1.0,1.0
Mikkel Damsgaard,289.0,411.0,14.0,6.0
Flavius Daniliuc,604.0,682.0,2.0,3.0
Danilo,1177.0,1314.0,12.0,15.0
Scott Dann,305.0,359.0,1.0,0.0
