Player Name,League,Position,Age,Matches Played,Starts,90s Played,Goals,Assists,Yellow Cards,Red Cards
Danilo Barbosa,Ligue 1,MF,22.0,22,18,17.2,0,0,1,1
Enis Bardhi,La Liga,MF,23.0,36,31,31.5,3,4,6,0
Francesco Bardi,Serie A,GK,26.0,3,3,3.0,0,0,0,0
Phil Bardsley,Premier League,DF,33.0,19,19,18.6,0,0,9,0
Nicolò Barella,Serie A,"MF,FW",21.0,35,35,34.5,1,3,10,2
Philipp Bargfrede,Bundesliga,"MF,DF",29.0,15,13,12.0,0,0,6,0
Antonino Barillà,Serie A,MF,30.0,31,30,29.1,3,2,10,0
Ross Barkley,Premier League,MF,24.0,27,13,13.8,3,5,1,0
Aymen Barkok,Bundesliga,MF,20.0,12,4,5.7,0,0,0,0
Ashley Barnes,Premier League,FW,28.0,37,26,26.5,12,2,8,0
Harvey Barnes,Premier League,"FW,MF",20.0,16,11,11.2,1,2,0,0
Antonio Barragán,La Liga,"DF,MF",31.0,14,12,10.4,0,0,4,0
Antonio Barreca,Premier League,DF,23.0,1,0,0.1,0,0,0,0
Antonio Barreca,Ligue 1,DF,23.0,7,7,6.6,0,1,0,0
Leandro Barreiro Martins,Bundesliga,MF,18.0,1,1,1.0,0,0,1,0
Ander Barrenetxea,La Liga,"FW,MF",16.0,9,5,4.4,1,0,0,0
Édgar Barreto,Serie A,MF,34.0,12,9,8.7,0,2,2,0
Musa Barrow,Serie A,"FW,MF",19.0,22,6,6.7,1,2,0,0
Fin Bartels,Bundesliga,FW,31.0,2,0,0.3,0,0,0,0
Marc Bartra,La Liga,DF,27.0,33,33,32.5,1,0,4,0
Andrea Barzagli,Serie A,DF,37.0,7,4,2.9,0,0,0,0
Daniele Baselli,Serie A,MF,26.0,34,27,26.4,4,1,5,0
Toma Bašić,Ligue 1,MF,21.0,23,16,14.8,2,0,3,0
Thomas Basila,Ligue 1,DF,19.0,2,1,1.0,0,0,0,0
Borja Bastón,La Liga,FW,25.0,27,18,16.0,5,1,4,0
Alessandro Bastoni,Serie A,DF,19.0,24,18,18.8,1,0,2,0
Bastos,Serie A,DF,27.0,18,11,12.7,1,0,3,0
Michy Batshuayi,Premier League,FW,24.0,11,9,8.3,5,0,0,0
Michy Batshuayi,La Liga,FW,24.0,15,4,5.9,1,0,3,0
Robert Bauer,Bundesliga,DF,23.0,22,19,19.1,0,0,4,1
Oliver Baumann,Bundesliga,GK,28.0,33,33,33.0,0,1,0,0
Timo Baumgartl,Bundesliga,DF,22.0,18,18,18.0,1,0,2,0
Julian Baumgartlinger,Bundesliga,MF,30.0,21,16,17.3,0,1,2,0
Christoph Baumgartner,Bundesliga,MF,18.0,2,1,0.9,0,0,2,1
Jon Bautista,La Liga,FW,23.0,18,4,6.6,1,0,1,0
Paul Baysse,Ligue 1,DF,30.0,1,0,0.8,0,0,1,0
Paul Baysse,Ligue 1,DF,30.0,20,20,19.9,0,0,3,1
Noah Joel Sarenren Bazee,Bundesliga,FW,21.0,3,3,1.7,0,0,0,0
Claudio Beauvue,Ligue 1,FW,30.0,25,16,16.7,3,0,1,0
Bebé,La Liga,"FW,MF",28.0,27,13,14.5,1,1,6,0
Bebé,La Liga,MF,28.0,2,1,0.7,0,0,0,0
Ihlas Bebou,Bundesliga,"FW,MF",24.0,12,12,11.8,4,3,1,0
Uffe Bech,Bundesliga,FW,25.0,2,0,0.2,0,0,1,0
Andreas Beck,Bundesliga,"DF,MF",31.0,24,21,19.7,0,2,2,0
Jan Bednarek,Premier League,DF,22.0,25,24,23.9,0,1,7,0
Andrea Beghetto,Serie A,"DF,MF",23.0,27,25,24.7,0,3,3,0
Asmir Begović,Premier League,GK,31.0,24,24,24.0,0,0,0,0
Valon Behrami,Serie A,MF,33.0,19,17,15.1,1,0,6,0
Hanno Behrens,Bundesliga,MF,28.0,30,30,29.3,4,1,3,0
Ishak Belfodil,Bundesliga,FW,26.0,28,20,20.7,16,3,3,0
Stefan Bell,Bundesliga,DF,26.0,25,25,25.0,0,0,7,0
Karim Bellarabi,Bundesliga,"FW,MF",28.0,19,14,11.7,5,4,4,1
Héctor Bellerín,Premier League,DF,23.0,19,18,17.0,0,5,3,0
Andrea Belotti,Serie A,FW,24.0,37,37,36.7,15,3,5,0
Fran Beltrán,La Liga,MF,19.0,30,16,16.9,1,0,3,0
Hatem Ben Arfa,Ligue 1,"MF,FW",31.0,26,23,22.6,7,2,1,0
Wissam Ben Yedder,La Liga,FW,27.0,35,31,31.2,18,9,3,0
Diego Benaglio,Ligue 1,GK,34.0,23,22,22.9,0,0,2,0
Marco Benassi,Serie A,MF,23.0,32,29,25.4,7,1,6,1
Medhi Benatia,Serie A,DF,31.0,5,5,5.0,0,0,2,0
Lars Bender,Bundesliga,"DF,MF",29.0,20,18,15.1,1,4,2,0
Sven Bender,Bundesliga,DF,29.0,27,25,22.1,0,0,3,0
László Bénes,Bundesliga,MF,20.0,1,0,0.3,0,0,0,0
Nicolas Benezet,Ligue 1,"MF,FW",27.0,25,18,18.5,3,1,1,0
Walter Benítez,Ligue 1,GK,25.0,35,35,35.0,0,0,1,0
Ismaël Bennacer,Serie A,MF,20.0,37,32,32.9,0,5,7,0
Joe Bennett,Premier League,DF,28.0,30,30,29.3,0,1,5,0
Ryan Bennett,Premier League,DF,28.0,34,34,34.0,1,0,12,0
Yassine Benrahou,Ligue 1,"MF,DF",19.0,4,1,2.0,0,0,0,0
Ramy Bensebaini,Ligue 1,DF,23.0,25,24,23.9,1,0,9,0
Nabil Bentaleb,Bundesliga,MF,23.0,25,19,19.9,3,0,4,0
Rodrigo Bentancur,Serie A,MF,21.0,31,21,22.3,2,3,8,1
Christian Benteke,Premier League,FW,27.0,16,9,9.0,1,1,1,0
Karim Benzema,La Liga,FW,30.0,36,35,32.8,21,6,1,0
Yassine Benzia,Ligue 1,MF,23.0,2,2,1.8,0,1,0,0
Domenico Berardi,Serie A,"FW,MF",23.0,35,32,31.9,8,4,5,1
Yuri Berchiche,La Liga,"DF,FW",28.0,35,35,34.7,2,2,8,0
Álex Berenguer,Serie A,"MF,FW",23.0,31,15,16.5,2,3,4,0
Bartosz Bereszyński,Serie A,DF,26.0,27,24,24.4,0,2,6,1
Jóhann Berg Guðmundsson,Premier League,"MF,FW",27.0,29,19,19.5,3,6,2,0
Markel Bergara,La Liga,MF,32.0,3,0,0.6,0,0,0,0
Robert Berić,Ligue 1,FW,27.0,23,12,13.1,9,1,0,0
Etrit Berisha,Serie A,GK,29.0,18,18,18.0,0,0,1,0
Valon Berisha,Serie A,MF,25.0,8,1,2.2,0,0,0,0
Bernard,Premier League,"FW,MF",25.0,34,25,23.5,1,3,5,0
Federico Bernardeschi,Serie A,"FW,MF",24.0,28,14,16.4,2,3,5,1
Bernardo,Premier League,DF,23.0,22,19,19.5,0,1,4,0
Paul Bernardoni,Ligue 1,GK,21.0,38,38,38.0,0,0,0,0
Juan Bernat,Ligue 1,"DF,MF",25.0,25,21,20.4,1,2,6,1
Antoine Bernede,Ligue 1,MF,19.0,2,2,1.9,0,0,0,0
Dimitry Bertaud,Ligue 1,GK,20.0,1,1,1.0,0,0,0,0
Ryan Bertrand,Premier League,DF,28.0,24,24,24.0,1,0,8,0
Daniel Bessa,Serie A,MF,25.0,34,25,27.1,1,3,8,0
Marcus Bettinelli,Premier League,GK,26.0,7,7,7.0,0,0,1,0
Louis Beyer,Bundesliga,DF,18.0,9,8,8.0,0,0,1,0
Jonathan Biabiany,Serie A,"FW,MF",30.0,18,12,11.9,0,0,4,0
Giulian Biancone,Ligue 1,DF,18.0,1,1,1.0,0,0,0,0
Ermin Bičakčić,Bundesliga,DF,28.0,25,20,19.9,1,2,0,0
Pedro Bigas,La Liga,DF,27.0,10,7,6.5,0,1,1,0
Lucas Biglia,Serie A,MF,32.0,16,13,12.4,1,0,3,0
Philip Billing,Premier League,MF,22.0,27,25,24.3,2,0,7,0
Cristiano Biraghi,Serie A,DF,25.0,36,36,35.5,1,4,8,0
Davide Biraschi,Serie A,DF,24.0,34,32,31.6,0,0,3,1
Valter Birsa,Serie A,"MF,FW",31.0,12,4,3.9,0,0,0,0
Valter Birsa,Serie A,"MF,FW",31.0,17,12,12.2,2,2,1,0
Yves Bissouma,Premier League,MF,21.0,28,17,19.7,0,0,5,0
Leonardo Bittencourt,Bundesliga,MF,24.0,21,13,11.9,1,3,1,0
Alejandro Blanco,La Liga,"FW,MF",19.0,2,0,0.2,0,0,0,0
Rubén Blanco,La Liga,GK,23.0,25,25,25.0,0,0,2,0
Ludovic Blas,Ligue 1,"MF,FW",20.0,34,27,26.4,1,6,5,0
Pablo de Blasis,Bundesliga,FW,30.0,1,1,1.0,0,0,0,0
Pablo de Blasis,La Liga,"DF,MF",30.0,24,16,16.9,2,0,2,1
Alexis Blin,Ligue 1,MF,21.0,27,25,22.1,1,1,4,0
Danny Blum,Bundesliga,FW,27.0,1,0,0.0,0,0,0,0
Emmanuel Boateng,La Liga,FW,22.0,16,7,7.8,1,0,2,0
Jérôme Boateng,Bundesliga,DF,29.0,20,19,18.8,0,2,1,0
Kevin-Prince Boateng,La Liga,FW,31.0,3,3,2.7,0,0,1,0
Kevin-Prince Boateng,Serie A,FW,31.0,13,11,10.4,4,1,1,0
Antonin Bobichon,Ligue 1,MF,22.0,30,24,23.9,7,2,2,0
Yann Bodiger,Ligue 1,MF,23.0,1,0,0.1,0,0,0,0
Mathieu Bodmer,Ligue 1,"MF,FW",35.0,26,10,11.9,1,0,1,0
Adam Bodzek,Bundesliga,"MF,DF",32.0,21,20,17.7,0,1,5,1
Jean-Paul Boëtius,Bundesliga,"MF,FW",24.0,30,25,23.6,4,7,8,0
Sacha Boey,Ligue 1,"DF,MF",17.0,1,0,0.2,0,0,0,0
Jeremie Boga,Serie A,"FW,MF",21.0,25,14,16.0,3,1,0,0
Willy Boly,Premier League,DF,27.0,36,36,35.2,4,0,2,1
Léo Bonatini,Premier League,FW,24.0,7,0,1.5,0,1,0,0
Giacomo Bonaventura,Serie A,MF,28.0,8,8,7.2,3,1,0,0
Daniele Bonera,La Liga,DF,37.0,5,4,2.6,0,0,1,0
Gaëtan Bong,Premier League,DF,30.0,22,19,20.1,0,0,0,0
Kevin Bonifazi,Serie A,DF,22.0,27,26,25.6,2,1,2,0
Leonardo Bonucci,Serie A,DF,31.0,29,27,27.5,3,0,2,0
Fabio Borini,Serie A,"FW,MF",27.0,20,10,11.7,2,2,3,0
Robin Bormuth,Bundesliga,DF,22.0,10,6,6.8,0,0,2,0
Artur Boruc,Premier League,GK,38.0,12,12,12.0,0,0,2,0
Olivier Boscagli,Ligue 1,"DF,MF",20.0,14,10,9.6,0,1,1,0
Gabriel Boschilia,Ligue 1,"FW,MF",22.0,29,14,14.7,4,4,1,0
John Bostock,Ligue 1,MF,26.0,16,10,10.9,0,0,1,0
Denis Bouanga,Ligue 1,"FW,MF",23.0,35,29,29.3,8,2,5,0
Zacharie Boucher,Ligue 1,GK,26.0,2,2,2.0,0,0,0,0
Ryad Boudebouz,La Liga,MF,28.0,11,8,8.0,1,2,2,1
Ryad Boudebouz,La Liga,"MF,FW",28.0,9,6,6.0,0,0,1,0
Sofiane Boufal,La Liga,"MF,FW",24.0,35,25,23.2,3,3,6,0
Nassim Boujellab,Bundesliga,MF,19.0,7,4,4.2,0,1,0,0
Arnold Bouka Moutou,Ligue 1,"DF,FW",29.0,3,0,0.7,0,0,0,0
Yassine Bounou,La Liga,GK,27.0,32,32,31.8,0,0,2,0
Mehdi Bourabia,Serie A,MF,26.0,32,21,22.3,1,0,8,1
Benjamin Bourigeaud,Ligue 1,"MF,FW",24.0,34,28,26.9,6,5,5,0
Bilal Boutobba,Ligue 1,MF,19.0,2,0,0.4,0,0,0,0
Umut Bozok,Ligue 1,FW,21.0,25,14,13.7,2,3,1,0
Filip Bradarić,Serie A,MF,26.0,27,17,16.6,0,2,5,0
Robbie Brady,Premier League,"MF,FW",26.0,16,6,8.0,0,1,3,1
Martin Braithwaite,La Liga,FW,27.0,19,16,15.6,4,5,5,0
Julian Brandt,Bundesliga,"MF,FW",22.0,33,30,29.6,7,11,0,0
Darko Brašanac,La Liga,MF,26.0,24,17,17.6,0,1,5,0
Pedro Brazão,Ligue 1,"FW,DF",15.0,1,0,0.2,0,0,0,0
Fabian Bredlow,Bundesliga,GK,23.0,13,12,12.5,0,0,1,0
Josip Brekalo,Bundesliga,"FW,MF",20.0,25,15,15.7,3,3,2,0
Gleison Bremer,Serie A,DF,21.0,5,2,2.0,0,0,1,0
Joshua Brenet,Bundesliga,"DF,MF",24.0,14,10,10.1,2,1,0,0
Rajko Brežančić,La Liga,DF,28.0,1,0,0.7,0,0,0,0
Anthony Briançon,Ligue 1,DF,23.0,33,33,32.5,2,2,9,1
Jimmy Briand,Ligue 1,FW,32.0,35,28,27.7,7,3,1,0
Nicolò Brighenti,Serie A,DF,28.0,11,11,11.0,0,0,4,0
Matteo Brighi,Serie A,MF,37.0,10,1,2.6,1,0,1,0
Enrico Brignola,Serie A,FW,19.0,7,2,1.9,1,0,2,0
Miguel Britos,Premier League,DF,33.0,3,2,2.1,0,0,0,0
David Brooks,Premier League,"MF,FW",21.0,30,29,25.1,7,5,3,0
John Brooks,Bundesliga,DF,25.0,29,29,29.0,3,2,7,0
Daniel Brosinski,Bundesliga,DF,30.0,26,26,24.5,3,5,2,0
